=================================
=  Morocco

Benjamin Bouchouari,          M,  1.65 m,  b. 13 Nov 2011 @ Borgerhout
Driss Khalid,                 F,  1.80 m,  b. 7 Feb 1999 @ Toulouse
Shady Oukhadda,               D,  1.86 m,  b. 17 Jan 1999 @ Abano Terme

Achraf Hakimi,                D,  1.80 m,  b. 4 Nov 1998 @ Madrid
Sofiane Alakouch,             D,  1.75 m,  b. 29 Jul 1998 @ Nîmes
Ayoub Abou,                   M,  1.75 m,  b. 28 Jun 1998 @ Casablanca
Amine Benchaib,               M,  1.81 m,  b. 18 Jun 1998 @ Gent
Hachim Mastour,               M,  1.75 m,  b. 15 Jun 1998 @ Reggio Emilia
Mourad Daoudi,                F,  1.90 m,  b. 27 May 1998 @ Balsapintada
Hamza El Kaouakibi,           D,  1.85 m,  b. 22 May 1998 @ Bentivoglio
Aymen Barkok,                 D|M,1.88 m,  b. 21 May 1998 @ Frankfurt am Main
Ousama Siddiki,               F,  1.81 m,  b. 13 Apr 1998 @ Tétouan
Sami Ben Amar,                F,  1.85 m,  b. 2 Mar 1998 @ Nice
Mehdi Benabid,                G,  1.88 m,  b. 24 Jan 1998 @ Rabat
Walid Cheddira,               F,  1.87 m,  b. 22 Jan 1998 @ Loreto
Hicham Boussefiane,           M,  1.76 m,  b. 9 Jan 1998 @ Rabat

Moha Ezzarfani,               M,  1.76 m,  b. 15 Nov 1997 @ Nador
Noussair Mazraoui,            D,  1.78 m,  b. 14 Nov 1997 @ Leiderdorp
Ismaël Kandouss,              D,  1.92 m,  b. 12 Nov 1997 @ Lille
Ilias Chair,                  M,  1.58 m,  b. 30 Oct 1997 @ Antwerp
Hamza Mendyl,                 D,  1.79 m,  b. 21 Oct 1997 @ Casablanca
Anas Ouahim,                  M,  1.72 m,  b. 23 Sep 1997 @ Leverkusen
Saad Agouzoul,                D,  1.91 m,  b. 10 Aug 1997 @ Marrakech
Amine Harit,                  M,  1.79 m,  b. 18 Jun 1997 @ Pontoise
Yousseff En-Nesyri,           F,  1.89 m,  b. 1 Jun 1997 @ Fez
Alexis André Jr,              G,  1.90 m,  b. 31 May 1997 @ Mulhouse
Karim Loukili,                F,  1.75 m,  b. 28 Apr 1997 @ Den Haag
Benaissa Benamar,             D,  1.91 m,  b. 8 Apr 1997 @ Amsterdam
Ryan Mmaee,                   F,  1.83 m,  b. 1 Apr 1997 @ Geraardsbergen
Yahya Nadrani,                D,  1.83 m,  b. 14 Jan 1997 @ Saint-Etienne
Mohamed El Bouazzati,         D,  1.87 m,  b. 9 Jan 1997 @ Nador

Abdelhamid Sabiri,            M|F,1.83 m,  b. 28 Nov 1996 @ Goulmima
Selim Amallah,                M,  1.80 m,  b. 15 Nov 1996 @ Hautrage
Samy Mmaee,                   D,  1.85 m,  b. 8 Sep 1996 @ Halle
Sofyan Amrabat,               M,  1.83 m,  b. 21 Aug 1996 @ Huizen
Youssef Aït Bennasser,        M,  1.84 m,  b. 7 Jul 1996 @ Toul
Hamza Sakhi,                  M,  1.73 m,  b. 7 Jun 1996 @ Rabat
Amine Talal,                  M,  1.76 m,  b. 5 Jun 1996 @ Casablanca
Abdel Al Badaoui,             F,  1.79 m,  b. 25 May 1996
Fahd Moufi,                   D,  1.79 m,  b. 5 May 1996 @ Mulhouse
Abdelkrim Baadi,              D,  1.75 m,  b. 14 Apr 1996 @ Agadir
Ahmed Reda Tagnaouti,         G,  1.82 m,  b. 5 Apr 1996 @ Casablanca
Nayef Aguerd,                 D,  1.88 m,  b. 30 Mar 1996 @ Kenitra
Soufiane Rahimi,              F,  1.81 m,  b. 23 Mar 1996 @ Casablanca
Oussama Idrissi,              M|F,1.83 m,  b. 26 Feb 1996 @ Bergen op Zoom
Moha,                         F,  1.80 m,  b. 13 Jan 1996 @ Nador

Mohamed Bouldini,             F,  1.84 m,  b. 27 Nov 1995 @ Casablanca
Munir El Haddadi,             F,  1.72 m,  b. 1 Sep 1995 @ San Lorenzo de El Escorial
Ismail H'Maidat,              M,  1.85 m,  b. 16 Jun 1995 @ Enschede
Yahia Attiyat Allah,          D,  1.76 m,  b. 2 Mar 1995 @ Safi
Anuar,                        M,  1.72 m,  b. 15 Jan 1995 @ Ceuta

Adam Masina,                  D,  1.91 m,  b. 2 Jan 1994 @ Khouribga

Badr Benoun,                  D,  1.93 m,  b. 30 Sep 1993 @ Casablanca
