=================================
=  Denmark

Victor Dedes,                 D,  - ,      b. 20 Mar 2003
Andreas Bredahl,              F,  - ,      b. 13 Mar 2003
Christian Wagner,             F,  1.86 m,  b. 13 Mar 2003
Christian Gammelgaard,        F,  - ,      b. 10 Mar 2003
William Bøving,               M|F,1.78 m,  b. 1 Mar 2003 @ Copenhagen
Jeppe Kudsk,                  D,  1.88 m,  b. 25 Feb 2003
Christian Friedrich,          D,  1.87 m,  b. 15 Feb 2003
Casper Winther,               M,  - ,      b. 11 Feb 2003
Frederik Heiselberg,          F,  - ,      b. 11 Feb 2003 @ Lyne
Christoffer Ravn,             D,  - ,      b. 9 Feb 2003
Luca Kjerrumgaard,            F,  - ,      b. 9 Feb 2003 @ Odense
Mika Biereth,                 F,  - ,      b. 8 Feb 2003 @ Lambeth
Rasmus Højlund,               F,  1.92 m,  b. 4 Feb 2003 @ Copenhagen
Sebastian Kristensen,         D,  - ,      b. 4 Feb 2003
Gustav Grubbe,                D,  1.81 m,  b. 27 Jan 2003 @ Odense
Andreas Gülstorff,            G,  - ,      b. 26 Jan 2003
Christian Rasmussen,          F,  1.84 m,  b. 19 Jan 2003 @ Lyngby
Filip Panjeskovic,            D,  - ,      b. 16 Jan 2003
Eskild Dall,                  F,  - ,      b. 8 Jan 2003 @ Aalborg

Mads Søndergaard,             M,  - ,      b. 26 Dec 2002
Victor Kristiansen,           D,  1.81 m,  b. 16 Dec 2002 @ Copenhagen
Noah Bischof,                 F,  1.85 m,  b. 7 Dec 2002 @ Feldkirch
Anton Gaaei,                  D,  1.83 m,  b. 19 Nov 2002 @ Viborg
Oliver Børsting,              F,  - ,      b. 30 Aug 2002
Karl Leth,                    F,  - ,      b. 22 Aug 2002
Laurs Skjellerup,             F,  1.95 m,  b. 12 Aug 2002 @ Mariagerfjord
Robin Østrøm,                 D,  1.88 m,  b. 9 Aug 2002 @ Copenhagen
Mads Hansen,                  F,  1.88 m,  b. 28 Jul 2002
Daniel Obbekjær,              D,  1.94 m,  b. 16 Jul 2002
Alexander Lind,               F,  1.86 m,  b. 26 Jun 2002
Aral Şimşir,                  F,  1.69 m,  b. 19 Jun 2002 @ Køge
Mads Borchers,                F,  1.88 m,  b. 18 Jun 2002 @ Sønderborg
Frederik Christensen,         M,  1.80 m,  b. 7 Jun 2002 @ Ikast
Marius Elvius,                D|F,1.85 m,  b. 1 Jun 2002 @ Taarnby
David Kruse,                  M,  1.84 m,  b. 15 May 2002 @ Uldum
Kristoffer Lund,              D,  1.84 m,  b. 14 May 2002 @ Kerteminde
Marcus Hannesbo,              M,  - ,      b. 11 May 2002
Anosike Ementa,               F,  2.02 m,  b. 3 May 2002
Anders Dahl,                  M,  - ,      b. 1 May 2002
Oliver Bjerrum Jensen,        M,  - ,      b. 30 Apr 2002
Jonathan Ægidius,             G,  - ,      b. 22 Apr 2002
Jonas Jensen-Abbew,           D,  1.87 m,  b. 20 Apr 2002 @ Herlev
Filip Jörgensen,              G,  1.90 m,  b. 16 Apr 2002 @ Lomma
Mathias Kvistgaarden,         F,  - ,      b. 15 Apr 2002 @ Birkerød
Frederik Carstensen,          F,  1.78 m,  b. 9 Apr 2002 @ Virklund
Lucas Lykkegaard,             D,  - ,      b. 5 Apr 2002
Noah Back Crone,              F,  1.84 m,  b. 23 Mar 2002 @ Gentofte
Niclas Holm Pedersen,         M,  - ,      b. 15 Mar 2002 @ Engesvang
Mathias Brems,                D,  1.91 m,  b. 13 Mar 2002
Oscar Fuglsang,               D,  1.73 m,  b. 12 Mar 2002 @ Aarhus
Mathias Madsen,               D,  1.75 m,  b. 10 Mar 2002
Oliver Sørensen,              M,  1.80 m,  b. 10 Mar 2002 @ Nørre Aaby
Mads Frederiksen,             D,  1.80 m,  b. 7 Mar 2002
Andreas Jungdal,              G,  1.91 m,  b. 22 Feb 2002 @ Singapore
Lasse Haysen,                 M,  - ,      b. 22 Feb 2002
Tobias Bech,                  M|F,1.89 m,  b. 19 Feb 2002 @ Møldrup
Casper Gedsted,               D,  - ,      b. 4 Feb 2002
Tobias Stagaard,              D,  - ,      b. 29 Jan 2002
Mathias Voss,                 D,  - ,      b. 26 Jan 2002
Magnus Lysholm,               D,  1.98 m,  b. 18 Jan 2002 @ Hvidovre
Thomas Thiesson Kristensen,   D,  1.98 m,  b. 17 Jan 2002 @ Galten
Yousef Salech,                F,  1.95 m,  b. 17 Jan 2002 @ Hellerup
Hans Høllsberg,               M,  - ,      b. 3 Jan 2002

Frederik Elkær,               D,  - ,      b. 8 Dec 2001
Fredrik Carlsen,              M,  1.93 m,  b. 1 Dec 2001 @ Vesterbro
Tobias Sommer,                M,  - ,      b. 27 Nov 2001
Oliver Villadsen,             D,  1.71 m,  b. 16 Nov 2001 @ Sønderborg
Alexander Hjælmhof,           M,  - ,      b. 9 Nov 2001
Jonathan Fischer,             G,  1.97 m,  b. 9 Nov 2001 @ Ballerup
