=================================
=  Ghana

Ato Ampah,                    F,  - ,      b. 22 Apr 2006 @ Accra
Edmund Addo,                  M,  1.78 m,  b. 17 May 2000
Malik Abubakari,              F,  1.84 m,  b. 10 May 2000 @ Accra
Ibrahim Sadiq,                M|F,1.67 m,  b. 7 May 2000 @ Buduburam
Kelvin Yeboah,                F,  1.82 m,  b. 6 May 2000 @ Accra
Samuel Alabi,                 M,  1.70 m,  b. 6 May 2000
Najeeb Yakubu,                D,  1.82 m,  b. 1 May 2000 @ Accra
Philip Awuku,                 D,  1.90 m,  b. 27 Apr 2000 @ Accra
David Agbo,                   M,  1.72 m,  b. 1 Apr 2000
Salis Abdul Samed,            M,  1.80 m,  b. 26 Mar 2000 @ Accra
Abdul Halik Hudu,             M,  1.68 m,  b. 19 Mar 2000 @ Accra
Tahiru Awudu,                 F,  1.74 m,  b. 10 Mar 2000 @ Accra
Ernest Boahene,               D,  1.72 m,  b. 6 Mar 2000 @ Accra
Kamal Sowah,                  M,  1.79 m,  b. 9 Jan 2000 @ Sabon Zongo
Antoine Semenyo,              F,  1.78 m,  b. 7 Jan 2000 @ Chelsea

Clinton Antwi,                D,  - ,      b. 6 Nov 1999
Abdallah Basit,               M,  1.80 m,  b. 15 Oct 1999 @ Accra
Paul Mensah,                  F,  1.78 m,  b. 13 Oct 1999 @ Kormantse
Joseph Akomadi,               M,  1.80 m,  b. 23 Sep 1999 @ Accra
Ishaku Konda,                 D,  1.88 m,  b. 11 Sep 1999
Yaw Ackah,                    M,  1.69 m,  b. 1 Jun 1999 @ Accra
Michael Baidoo,               M,  1.74 m,  b. 14 May 1999 @ Accra
Sabit Abdulai,                M,  1.85 m,  b. 11 May 1999 @ Techiman
Mohammed Salisu,              D,  1.91 m,  b. 17 Apr 1999 @ Accra
Fatawu Hamidu,                D,  1.82 m,  b. 4 Mar 1999 @ Ejura
Frank Arhin,                  M,  1.66 m,  b. 16 Feb 1999
Abdul Manaf Nurudeen,         G,  1.90 m,  b. 8 Feb 1999 @ Accra
Stephen Buer,                 M,  - ,      b. 16 Jan 1999
Abdul Ibrahim,                D,  1.76 m,  b. 13 Jan 1999 @ Accra
Yaw Moses,                    M,  1.70 m,  b. 7 Jan 1999 @ Accra
Jonathan Sowah,               F,  1.80 m,  b. 1 Jan 1999 @ Nima

Brandon Thomas-Asante,        F,  1.80 m,  b. 29 Dec 1998 @ Milton Keynes
Isaac Twum,                   M,  1.75 m,  b. 14 Dec 1998 @ Koforidua
Osman Bukari,                 F,  1.70 m,  b. 13 Dec 1998 @ Accra
Ishmael Baidoo,               M,  1.72 m,  b. 1 Dec 1998 @ Accra
Jonah Osabutey,               F,  1.81 m,  b. 8 Oct 1998
Issah Abass,                  F,  1.73 m,  b. 26 Sep 1998 @ Asokwa
Kingsley Fobi,                D,  1.80 m,  b. 20 Sep 1998 @ Cape Coast
David Abagna,                 M,  - ,      b. 9 Sep 1998
Michael Agbekpornu,           M,  1.88 m,  b. 31 Aug 1998 @ Accra
Hans Nunoo Sarpei,            M,  1.78 m,  b. 22 Aug 1998 @ Accra
Gideon Mensah,                D,  1.77 m,  b. 18 Jul 1998 @ Accra
Lawrence Ofori,               M,  1.81 m,  b. 28 Jun 1998 @ Accra
Kwasi Sibo,                   M,  1.82 m,  b. 24 Jun 1998 @ Wa
Abdul Mumin,                  D,  1.85 m,  b. 6 Jun 1998
Shaka Mawuli,                 M,  1.85 m,  b. 16 May 1998 @ Sunyani
Abdul-Aziz Yakubu,            F,  1.80 m,  b. 10 May 1998 @ Tamale
Prince Ampem,                 M,  1.69 m,  b. 13 Apr 1998 @ Sunyani
Ernest Agyiri,                M,  1.76 m,  b. 6 Mar 1998 @ Accra
Mo Dauda,                     F,  1.76 m,  b. 20 Feb 1998 @ Larabanga
Francis Cann,                 F,  1.74 m,  b. 6 Feb 1998 @ Tema
Johnson Owusu,                F,  1.84 m,  b. 5 Feb 1998 @ Accra
Maxwell Quaye,                F,  1.74 m,  b. 2 Feb 1998 @ Accra
Joseph Paintsil,              F,  1.74 m,  b. 1 Feb 1998 @ Fodama
