=================================
=  Greece

Athanasios Christopoulos,     D,  - ,      b. 5 Jan 2008
Angelos Zioulis,              D,  1.88 m,  b. 1 Feb 1995 @ Athens
Alexandros Kartalis,          D|M,1.78 m,  b. 29 Jan 1995 @ Nuremberg
Anastasios Kritikos,          F,  1.77 m,  b. 25 Jan 1995 @ Larissa
Charis Charisis,              M,  1.77 m,  b. 12 Jan 1995 @ Ioannina
Kleton Perntreou,             G,  1.88 m,  b. 8 Jan 1995 @ Tirana

Giorgos Manalis,              F,  1.82 m,  b. 21 Dec 1994 @ Athens
Giannis Kargas,               D,  1.86 m,  b. 9 Dec 1994 @ Kilkis
Giorgos Giakoumakis,          F,  1.85 m,  b. 9 Dec 1994 @ Rethymno
Vasilis Soulis,               G,  1.99 m,  b. 7 Dec 1994 @ Patras
Christos Albanis,             F,  1.84 m,  b. 5 Nov 1994 @ Kalabaka
Marios Ogkmpoe,               F,  1.88 m,  b. 10 Oct 1994 @ Athens
Christos Donis,               M,  1.83 m,  b. 9 Oct 1994 @ Athens
Dimitris Manos,               F,  1.79 m,  b. 16 Sep 1994 @ Trikala
Alexandros Anagnostopoulos,   G,  1.85 m,  b. 18 Aug 1994 @ Athens
Dimitris Sounas,              M,  1.77 m,  b. 12 Aug 1994 @ Portaria
Alexandros Nikolias,          M,  1.72 m,  b. 23 Jul 1994 @ Kymi
Lefteris Choutesiotis,        G,  1.92 m,  b. 20 Jul 1994 @ Makrychori
Diamantis Chouchoumis,        D,  1.78 m,  b. 17 Jul 1994 @ Aliveri
Dimitris Konstantinidis,      D,  1.73 m,  b. 2 Jun 1994 @ Thessaloniki
Vasilios Barkas,              G,  1.96 m,  b. 30 May 1994 @ Peristeri
Manolis Siopis,               M,  1.71 m,  b. 14 May 1994 @ Alexandroupoli
Kosmas Tsilianidis,           M,  1.80 m,  b. 9 May 1994 @ Thessaloniki
Nikos Ioannidis,              F,  1.88 m,  b. 26 Apr 1994 @ Remscheid
Odisseas Vlachodimos,         G,  1.88 m,  b. 26 Apr 1994 @ Stuttgart
Giorgos Migas,                D,  1.85 m,  b. 7 Apr 1994 @ Amfilochia
Dimitris Goutas,              D,  1.89 m,  b. 4 Apr 1994 @ Kavala
Stefanos Kapino,              G,  1.96 m,  b. 18 Mar 1994 @ Piraeus
Charalambos Mavrias,          M,  1.77 m,  b. 21 Feb 1994 @ Zakynthos
Spyros Risvanis,              D,  1.96 m,  b. 3 Jan 1994 @ Kalamata

Konstantinos Bouloulis,       M,  1.73 m,  b. 7 Dec 1993 @ Lamia
Kostas Stafylidis,            D,  1.76 m,  b. 2 Dec 1993 @ Koufalia
Giorgos Masouras,             M,  1.84 m,  b. 30 Nov 1993 @ Amfilochia
Spyros Fourlanos,             M,  1.73 m,  b. 19 Nov 1993 @ Athens
Giorgos Pamlidis,             F,  1.79 m,  b. 13 Nov 1993 @ Katerini
Dimitrios Kourbelis,          M,  1.82 m,  b. 2 Nov 1993 @ Korakovouni
Vasilis Vitlis,               D,  1.80 m,  b. 28 Oct 1993 @ Thessaloniki
Dimitris Pelkas,              M,  1.75 m,  b. 26 Oct 1993 @ Giannitsa
Charalampos Lykogiannis,      D,  1.90 m,  b. 22 Oct 1993 @ Athens
Stelios Kitsiou,              D,  1.76 m,  b. 28 Sep 1993 @ Thessaloniki
Nikos Marinakis,              D,  1.86 m,  b. 13 Sep 1993 @ Heraklion
Panagiotis Tsintotas,         G,  1.92 m,  b. 4 Jul 1993 @ Katerini
Stavros Panagiotou,           D,  1.71 m,  b. 1 Jul 1993 @ Arta
Anastasios Bakasetas,         F,  1.85 m,  b. 28 Jun 1993 @ Corinth
Theofanis Tzandaris,          M,  1.80 m,  b. 13 Jun 1993 @ Sochos
Giannis Gianniotas,           M,  1.75 m,  b. 29 Apr 1993 @ Thessaloniki
Dimitris Kolovos,             M,  1.82 m,  b. 27 Apr 1993 @ Athens
Giorgos Athanasiadis,         G,  1.91 m,  b. 7 Apr 1993 @ Thessaloniki
Andreas Bouhalakis,           M,  1.86 m,  b. 5 Apr 1993 @ Heraklion
Konstantinos Triantafyllopoulos,D,  1.85 m,  b. 3 Apr 1993 @ Corinth
Serafim Giannikoglou,         G,  1.89 m,  b. 25 Mar 1993 @ Kavala
Nikos Melissas,               G,  1.82 m,  b. 24 Feb 1993 @ Thessaloniki
Nikos Giannakopoulos,         G,  1.92 m,  b. 19 Feb 1993 @ Athens
Sokratis Dioudis,             G,  1.82 m,  b. 3 Feb 1993 @ Thessaloniki
George Baldock,               D,  1.75 m,  b. 26 Jan 1993 @ Buckingham

Andreas Gianniotis,           G,  1.90 m,  b. 18 Dec 1992 @ Serres
Giannis Kotsiras,             D,  1.83 m,  b. 16 Dec 1992 @ Megalopolis
Stavros Petavrakis,           D,  1.77 m,  b. 9 Nov 1992 @ Rhodes
Panagiotis Symelidis,         F,  1.77 m,  b. 3 Nov 1992 @ Vatero
Kostas Fortounis,             M,  1.82 m,  b. 16 Oct 1992 @ Kalambaka
Marios Oikonomou,             D,  1.89 m,  b. 6 Oct 1992 @ Giannina
Dimitris Chatziisaias,        D,  1.93 m,  b. 21 Sep 1992 @ Thessaloniki
Panagiotis Triadis,           M,  1.78 m,  b. 9 Sep 1992 @ Herdecke
Kosmas Gezos,                 D,  1.82 m,  b. 15 Aug 1992 @ Athens
Thanassis Garavelis,          G,  1.90 m,  b. 6 Aug 1992 @ Kozani
Kyriakos Kivrakidis,          D,  1.81 m,  b. 21 Jul 1992 @ Berlin
Petros Giakoumakis,           F,  1.75 m,  b. 3 Jul 1992 @ Heraklion
Manolis Tzanakakis,           D,  1.76 m,  b. 30 Apr 1992 @ Heraklion
Ioannis Gelios,               G,  1.90 m,  b. 24 Apr 1992 @ Augsburg
Anastasios Lagos,             M,  1.82 m,  b. 12 Apr 1992 @ Volos
Georgios Papavasiliou,        F,  1.87 m,  b. 6 Apr 1992 @ Proti
Nikos Tsoukalos,              F,  1.83 m,  b. 23 Mar 1992 @ Lamia
Nikolaos Karanikas,           D,  1.76 m,  b. 4 Mar 1992 @ Larissa
Nikos Karelis,                F,  1.79 m,  b. 24 Feb 1992 @ Rethymno
Kyriakos Papadopoulos,        D,  1.83 m,  b. 23 Feb 1992 @ Katerini
Giorgos Valerianos,           D,  1.80 m,  b. 13 Feb 1992 @ Athens
Giorgos Saramantas,           D,  1.76 m,  b. 29 Jan 1992 @ Pyrgos
Stavros Vasilantonopoulos,    D,  1.78 m,  b. 28 Jan 1992 @ Egio
Valentinos Vlachos,           D,  1.77 m,  b. 14 Jan 1992 @ Athens
Apostolos Vellios,            F,  1.91 m,  b. 8 Jan 1992 @ Thessaloniki

Vasilis Mantzis,              F,  1.81 m,  b. 4 Dec 1991 @ Grammatiko
Dimitris Kolovetsios,         D,  1.84 m,  b. 16 Oct 1991 @ Larissa
Panagiotis Vlachodimos,       F,  1.84 m,  b. 12 Oct 1991 @ Stuttgart
Christos Eleftheriadis,       M,  1.78 m,  b. 30 Sep 1991 @ Kavala
Thanassis Karagounis,         F,  1.79 m,  b. 25 Sep 1991 @ Ptolemaida
Kostas Lamprou,               G,  1.76 m,  b. 18 Sep 1991 @ Athens
Dimitris Anakoglou,           M,  1.75 m,  b. 6 Sep 1991 @ Serres
Petros Mandalos,              M,  1.73 m,  b. 31 Aug 1991 @ Komotini
Nikos Korovesis,              D,  1.76 m,  b. 10 Aug 1991 @ Chalkida
Konstantinos Manolas,         D,  1.89 m,  b. 14 Jun 1991 @ Naxos
Thanos Petsos,                M,  1.84 m,  b. 5 Jun 1991 @ Düsseldorf
Aristotelis Karasalidis,      D,  1.86 m,  b. 3 May 1991 @ Thessaloniki
Christos Tasoulis,            D,  1.78 m,  b. 3 May 1991 @ Tripoli
Tasos Tsokanis,               M,  1.82 m,  b. 2 May 1991 @ Chalkida
Michalis Bakakis,             D,  1.77 m,  b. 18 Mar 1991 @ Agrinio
Giannis Anestis,              G,  1.97 m,  b. 9 Mar 1991 @ Chalkida
Andreas Vasilogiannis,        M,  1.82 m,  b. 21 Feb 1991 @ Kato Achaia
Panagiotis Tachtsidis,        M,  1.91 m,  b. 15 Feb 1991 @ Nafplio
Giorgios Koutroubis,          D,  1.85 m,  b. 10 Feb 1991 @ Athens

Giannis Fetfatzidis,          M,  1.68 m,  b. 21 Dec 1990 @ Drama
Anastasios Karamanos,         F,  1.81 m,  b. 21 Sep 1990 @ Athens
Stergios Dimopoulos,          D,  1.80 m,  b. 25 May 1990 @ Karditsa
Nikos Moustakis,              D,  1.79 m,  b. 4 May 1990 @ Athens
Nikos Kaltsas,                M,  1.71 m,  b. 3 May 1990 @ Veria
Nikos Papadopoulos,           G,  1.90 m,  b. 11 Apr 1990 @ Athens
Sotiris Ninis,                M,  1.73 m,  b. 3 Apr 1990 @ Himara
Vasilios Lampropoulos,        D,  1.85 m,  b. 31 Mar 1990 @ Pyrgos
Konstantinos Theodoropoulos,  G,  1.85 m,  b. 27 Mar 1990 @ Athens
Giannis Gotsoulias,           M,  1.70 m,  b. 15 Mar 1990 @ Patras
Lefteris Matsoukas,           F,  1.74 m,  b. 7 Mar 1990 @ Athens
Giannis Skondras,             D,  1.82 m,  b. 21 Feb 1990 @ Trikala
Apostolis Giannou,            F,  1.85 m,  b. 25 Jan 1990 @ Naoussa
Anastasios Avlonitis,         D,  1.91 m,  b. 1 Jan 1990 @ Chalcis

Alexandros Paschalakis,       G,  1.93 m,  b. 28 Jul 1989 @ Athens
Andreas Samaris,              M,  1.89 m,  b. 13 Jun 1989 @ Patras
Manolis Mpertos,              D,  1.80 m,  b. 13 May 1989 @ Xanthi

Dimitris Siovas,              D,  1.92 m,  b. 16 Sep 1988 @ Drama
Theodoros Vassilakakis,       M,  1.85 m,  b. 20 Jul 1988 @ Thessaloniki
Elini Dimoutsos,              M,  1.78 m,  b. 18 Jun 1988 @ Luznja
Sokratis Papastathopoulos,    D,  1.83 m,  b. 9 Jun 1988 @ Kalamata
Stavros Tsoukalas,            M,  1.85 m,  b. 23 May 1988 @ Thessaloniki
Dimos Baxevanidis,            D,  1.75 m,  b. 14 Apr 1988 @ Komotini
Kostas Mitroglou,             F,  1.88 m,  b. 12 Mar 1988 @ Kavala
Vangelis Platellas,           F,  1.65 m,  b. 1 Feb 1988 @ Xanthi

Kostas Giannoulis,            D,  1.83 m,  b. 9 Dec 1987 @ Katerini
Giorgos Manousos,             F,  1.78 m,  b. 3 Dec 1987 @ Mytilene
Giorgos Delizisis,            D,  1.91 m,  b. 1 Dec 1987 @ Kozani
Giorgos Tzavelas,             D,  1.83 m,  b. 26 Nov 1987 @ Athens
Stergos Marinos,              D,  1.66 m,  b. 17 Sep 1987 @ Kos
Dimitris Sotiriou,            G,  1.85 m,  b. 13 Sep 1987 @ Athens
Stefanos Siontis,             D,  1.79 m,  b. 4 Sep 1987 @ Ioannina
Panagiotis Kone,              M,  1.83 m,  b. 26 Jul 1987 @ Tirana
Grigoris Makos,               M,  1.83 m,  b. 18 Jan 1987 @ Athens

Lazaros Christodoulopoulos,   M,  1.83 m,  b. 19 Dec 1986 @ Thessaloniki
Giannis Maniatis,             D,  1.75 m,  b. 12 Oct 1986 @ Livadia
Panagiotis Glykos,            G,  1.84 m,  b. 10 Oct 1986 @ Volos
Alexis Michail,               D,  1.83 m,  b. 18 Aug 1986 @ Giannina
Savvas Tsambouris,            D,  1.80 m,  b. 16 Jul 1986 @ Athens
Christos Lisgaras,            D,  1.89 m,  b. 12 Feb 1986 @ Giannina

Orestis Karnezis,             G,  1.89 m,  b. 11 Jul 1985 @ Athens
Vasilis Torosidis,            D,  1.85 m,  b. 10 Jun 1985 @ Xanthi
Stelios Malezas,              D,  1.92 m,  b. 11 Mar 1985 @ Katerini
Giorgos Samaras,              F,  1.93 m,  b. 21 Feb 1985 @ Heraklion
Alexandros Tziolis,           M,  1.89 m,  b. 13 Feb 1985 @ Katerini

Avraam Papadopoulos,          D,  1.86 m,  b. 3 Dec 1984 @ Sydney
Michalis Sifakis,             G,  1.85 m,  b. 9 Sep 1984 @ Arta
José Holebas,                 D,  1.85 m,  b. 27 Jun 1984 @ Aschaffenburg

Nikos Spiropoulos,            D,  1.72 m,  b. 10 Oct 1983 @ Giannina
Pantelis Kapetanos,           F,  1.90 m,  b. 8 Jun 1983 @ Ptolemaida

Alexandros Tzorvas,           G,  1.88 m,  b. 12 Aug 1982 @ Athens

Giorgos Fotakis,              M,  1.75 m,  b. 29 Oct 1981 @ Kalamata
Vangelis Moras,               D,  1.93 m,  b. 26 Aug 1981 @ Larisa
Dimitris Salpigidis,          F,  1.72 m,  b. 18 Aug 1981 @ Thessaloniki
Georgios Seitaridis,          D,  1.85 m,  b. 4 Jun 1981 @ Piraeus
Loukas Vyntra,                D,  1.84 m,  b. 5 Feb 1981 @ Alberhiche

Theofanis Gekas,              F,  1.79 m,  b. 23 May 1980 @ Larissa
Aggelos Charisteas,           F,  1.90 m,  b. 9 Feb 1980 @ Serres

Sotirios Kyrgiakos,           D,  1.92 m,  b. 23 Jul 1979 @ Trikala
Kostas Katsouranis,           M,  1.83 m,  b. 21 Jun 1979 @ Patra
Christos Patsatzoglou,        D,  1.82 m,  b. 19 Mar 1979 @ Athens
Thanassis Prittas,            M,  1.83 m,  b. 9 Jan 1979 @ Thessaloniki

Dimitrios Konstantopoulos,    G,  1.93 m,  b. 29 Nov 1978 @ Thessaloniki

Giorgos Karagounis,           M,  1.76 m,  b. 6 Mar 1977 @ Pyrgos

Nikos Liberopoulos,           F,  1.86 m,  b. 4 Aug 1975 @ Kalamata

Konstantinos Chalkias,        G,  1.99 m,  b. 30 May 1974 @ Larisa
