=================================
=  Greece

Athanasios Christopoulos,     D,  - ,      b. 5 Jan 2008
Kristian Rroku,               G,  1.90 m,  b. 29 Mar 2003 @ Athens
Iason Kyrkos,                 M,  - ,      b. 21 Mar 2003
Ilias Kostis,                 D,  1.88 m,  b. 27 Feb 2003 @ Thessaloniki
Manolis Smpokos,              D,  - ,      b. 19 Feb 2003
Athanasios Stoinovic,         M,  1.78 m,  b. 17 Feb 2003 @ Komotini
Alexandros Doumas,            D,  - ,      b. 3 Feb 2003
Andreas Ntoi,                 D,  1.90 m,  b. 2 Feb 2003 @ Athens
Ilias Christopoulos,          D,  1.73 m,  b. 2 Feb 2003
Fotis Pseftis,                G,  1.90 m,  b. 19 Jan 2003 @ Athens
Thomas Kastanaras,            F,  1.85 m,  b. 9 Jan 2003 @ Stuttgart

Apostolos Apostolopoulos,     D,  1.75 m,  b. 11 Dec 2002
Vasilios Sourlis,             M,  1.82 m,  b. 16 Nov 2002 @ Athens
Vasilis Sourlis,              M,  1.82 m,  b. 16 Nov 2002 @ Athens
Christos Kourfalidis,         M,  1.78 m,  b. 11 Nov 2002 @ Thessaloniki
Konstantinos Tzolakis,        G,  1.93 m,  b. 8 Nov 2002 @ Chania
Ajdi Dajko,                   D,  - ,      b. 28 Oct 2002
Giorgos Papadopoulos,         D,  - ,      b. 18 Oct 2002
Pavlos Pantelidis,            F,  - ,      b. 16 Sep 2002 @ Athens
Alexandros Lolis,             M,  1.80 m,  b. 5 Sep 2002 @ Igoumenitsa
Vasíleios Pavlídis,           D,  1.84 m,  b. 4 Sep 2002 @ Thessaloniki
Antonis Siatounis,            M,  1.83 m,  b. 26 Aug 2002 @ Ilion
Aventis Aventisian,           D,  1.70 m,  b. 17 Aug 2002 @ Thessaloniki
Georgios Anthoulakis,         M,  - ,      b. 10 Aug 2002
Apostolos Konstantopoulos,    D,  1.88 m,  b. 2 Aug 2002
Christos Belevonis,           M,  1.83 m,  b. 29 Jul 2002 @ Heraklion
Konstantinos Nikolopoulos,    F,  1.70 m,  b. 13 Jul 2002 @ Athens
Giorgos Theocharis,           G,  1.88 m,  b. 10 Jul 2002
Ilias Karargyris,             G,  1.85 m,  b. 29 Jun 2002 @ Nafplio
Vasilis Skiadas,              D,  - ,      b. 25 Jun 2002
Pavlos Logaras,               D,  - ,      b. 18 Jun 2002
Konstantinos Pomonis,         D,  - ,      b. 5 Jun 2002
Georgios Sideras,             D,  1.85 m,  b. 30 May 2002 @ Kandila
Christos Marmaridis,          D,  1.67 m,  b. 25 May 2002 @ Thessaloniki
Fotis Sgouris,                G,  - ,      b. 29 Apr 2002
Angelos Tsavos,               D,  1.81 m,  b. 11 Apr 2002
Pavlos Grosdanis,             M,  - ,      b. 3 Apr 2002 @ Florina
Vasilis Kravaritis,           G,  - ,      b. 3 Apr 2002
Ronaldo Shani,                F,  1.82 m,  b. 29 Mar 2002
Giannis Rizos,                D,  - ,      b. 19 Mar 2002
Konstantinos Balomenos,       G,  1.87 m,  b. 11 Mar 2002 @ Kilkis
Kyriakos Aslanidis,           D,  1.84 m,  b. 11 Mar 2002 @ Serres
Christos Chatzigiannakis,     G,  1.88 m,  b. 9 Mar 2002 @ Anavyssos
Giannis Saltas,               G,  - ,      b. 5 Mar 2002
Stefanos Katsikas,            D,  1.81 m,  b. 28 Feb 2002
Michalis Kosidis,             F,  1.91 m,  b. 9 Feb 2002 @ Thessaloniki
Christos Tzolis,              F,  1.79 m,  b. 30 Jan 2002 @ Thessaloniki
Vasilios Gordeziani,          F,  1.85 m,  b. 29 Jan 2002 @ Thessaloniki
Athanasios Michopoulos,       M,  - ,      b. 20 Jan 2002
Panagiotis Panagiotou,        D,  1.84 m,  b. 16 Jan 2002 @ Ioannina
Vangelis Kontogiannis,        G,  - ,      b. 9 Jan 2002

Andreas Athanasakopoulos,     M,  1.78 m,  b. 27 Nov 2001 @ Patras
Sotiris Alexandropoulos,      M,  1.83 m,  b. 26 Nov 2001 @ Marousi
Anestis Vlachomitros,         F,  1.86 m,  b. 6 Nov 2001 @ Pefki
Giorgos Rodis,                F,  - ,      b. 2 Nov 2001
Vassilis Sifakis,             G,  - ,      b. 27 Oct 2001
Triantafyllos Tsapras,        D,  1.86 m,  b. 22 Oct 2001 @ Livadeia
Vangelis Nikokyrakis,         F,  1.75 m,  b. 4 Oct 2001 @ Heraklion
Giannis Sourdis,              G,  1.91 m,  b. 29 Sep 2001 @ Voula
Giorgos Daktylas,             M,  1.75 m,  b. 22 Sep 2001
Christos Mandas,              G,  1.89 m,  b. 17 Sep 2001 @ Piraeus
Giorgos Vagiannidis,          D,  1.82 m,  b. 12 Sep 2001 @ Gerakas
Dimitris Pinakas,             F,  1.75 m,  b. 1 Sep 2001 @ Larissa
Spyros Tzavidas,              F,  1.82 m,  b. 21 Aug 2001 @ Lagonisi
Stathis Tachatos,             D,  1.77 m,  b. 12 Aug 2001 @ Thessaloniki
Christos Voutsas,             M,  1.80 m,  b. 31 Jul 2001 @ Thessaloniki
Kostas Roukounakis,           M,  1.83 m,  b. 17 Jul 2001 @ Athens
Giorgos Gogos,                D,  1.93 m,  b. 11 Jul 2001 @ Ioannina
Stelios Kokovas,              D,  1.86 m,  b. 6 Jul 2001 @ Larissa
Theodoros Antonopoulos,       G,  1.80 m,  b. 6 Jul 2001 @ Athens
Panos Katseris,               M,  1.79 m,  b. 5 Jul 2001 @ Athens
Petros Bakoutsis,             M,  1.80 m,  b. 29 Jun 2001 @ Thessaloniki
Panagiotis Sengergis,         D,  - ,      b. 23 Jun 2001
Andrews Tetteh,               F,  1.88 m,  b. 25 May 2001 @ Athens
Ilias Koutsoupias,            M,  1.82 m,  b. 10 May 2001 @ Athens
Vassilis Zagaritis,           D,  1.77 m,  b. 4 May 2001 @ Thiva
Kostas Chatzipirpiridis,      F,  1.67 m,  b. 1 May 2001 @ Thessaloniki
Georgios Vrakas,              M,  1.80 m,  b. 28 Apr 2001 @ Ioannina
Giorgios Ballas,              F,  - ,      b. 7 Apr 2001
Spyros Skondras,              F,  - ,      b. 6 Apr 2001
Kyriakos Giaxis,              M,  1.84 m,  b. 3 Apr 2001 @ Serres
Nikolaos Michelis,            D,  1.92 m,  b. 23 Mar 2001 @ Nea Smyrni
Nikos Michelis,               D,  1.91 m,  b. 23 Mar 2001 @ Nea Smyrni
Christos Talichmanidis,       G,  1.86 m,  b. 16 Mar 2001 @ Thessaloniki
Nikos Athanasiou,             D,  1.77 m,  b. 16 Mar 2001 @ Athens
Dimitris Serpezis,            M,  1.82 m,  b. 14 Mar 2001 @ Metamorfosi
Panagiotis Tzimas,            M,  1.81 m,  b. 12 Mar 2001 @ Preveza
Kostas Tsirigotis,            D,  - ,      b. 10 Mar 2001
Panagiotis Tsagalidis,        D,  - ,      b. 5 Mar 2001
Charilaos Fourkiotis,         D,  1.85 m,  b. 4 Mar 2001
Michalis Pardalos,            G,  - ,      b. 2 Mar 2001
Konstantinos Thymianis,       D,  1.86 m,  b. 28 Feb 2001 @ Olympiada
Dmitris Karagannis,           D,  1.84 m,  b. 27 Feb 2001 @ Mandra
Giorgos Kanellakis,           M,  1.78 m,  b. 22 Feb 2001 @ Volos
Giorgos Liavas,               D,  1.81 m,  b. 12 Feb 2001 @ Archontochori
Petros Bagalianis,            D,  - ,      b. 6 Feb 2001 @ Nea Kallikrateia
Apostolos Kotsianoulis,       F,  - ,      b. 29 Jan 2001
Nikos Gotzamanidis,           D,  1.89 m,  b. 25 Jan 2001
Vasilios Spinos,              D,  1.88 m,  b. 20 Jan 2001 @ Kifisia
Alexandros Kardaris,          D,  - ,      b. 14 Jan 2001
Apostolos Martinis,           D,  1.83 m,  b. 8 Jan 2001
Georgios Christodoulis,       G,  1.91 m,  b. 4 Jan 2001 @ Katerini
Stefanos Souloukos,           G,  - ,      b. 4 Jan 2001
Giorgos Zacharakis,           F,  - ,      b. 2 Jan 2001

Giannis-Fivos Botos,          M,  1.72 m,  b. 20 Dec 2000 @ Athens
Stavros Pilios,               D|F,1.77 m,  b. 10 Dec 2000 @ Ioannina
Giannis Nikopolidis,          G,  1.88 m,  b. 8 Dec 2000 @ Athens
Giannis Sardelis,             M,  1.71 m,  b. 30 Nov 2000 @ Methoni
Theodoris Chiritrantas,       D,  - ,      b. 10 Nov 2000 @ Thessaloniki
Kostas Stamoulis,             D,  1.73 m,  b. 29 Oct 2000 @ Patras
Dimitrios Emmanouilidis,      F,  1.71 m,  b. 24 Oct 2000 @ Leuctra
Klaidi Lolos,                 F,  1.88 m,  b. 6 Oct 2000 @ Athens
Frixos Grivas,                M,  1.78 m,  b. 23 Sep 2000 @ Livadia
Efthymios Christopoulos,      F,  1.81 m,  b. 20 Sep 2000 @ Patras
Savvas Gentsoglou,            M,  1.85 m,  b. 19 Sep 2000 @ Alexandroupoli
Alexandros Kyziridis,         F,  1.79 m,  b. 16 Sep 2000 @ Skydra
Apostolos Tsilingiris,        G,  1.90 m,  b. 6 Sep 2000 @ Xanthi
Charis Tsiggaras,             M,  1.73 m,  b. 20 Aug 2000 @ Portaria
Georgios Neofytidis,          M,  1.83 m,  b. 28 Jul 2000 @ Thessaloniki
Giannis Christopoulos,        D,  1.84 m,  b. 22 Jul 2000 @ Tripoli
Venizelos Pentarakis,         G,  1.94 m,  b. 15 Jul 2000 @ Chania
Sotirios Kokkinis,            F,  1.68 m,  b. 11 Jul 2000 @ Preveza
Orestis Grigoropoulos,        D,  1.75 m,  b. 4 Jul 2000
Theodoros Tsirigotis,         F,  1.83 m,  b. 23 Jun 2000 @ Athens
Christos Kalantzis,           G,  - ,      b. 19 Jun 2000
Alexandros Chalatsis,         M,  1.89 m,  b. 16 Jun 2000
Gerasimos Bakadimas,          D,  - ,      b. 6 Jun 2000
Alexandros Voilis,            F,  1.87 m,  b. 26 May 2000 @ Mandra
Angelos Liasos,               M,  1.85 m,  b. 26 May 2000 @ Florina
Apostolos Diamantis,          D,  1.87 m,  b. 20 May 2000 @ Serres
Serafim Maniotis,             M,  1.85 m,  b. 17 May 2000 @ Lamia
Marios Tsaousis,              D,  1.75 m,  b. 11 May 2000 @ Thessaloniki
Alexandros Kavvadias,         F,  - ,      b. 10 May 2000
Theodosis Macheras,           F,  1.79 m,  b. 9 May 2000 @ Leros
Symeon Papadopoulos,          G,  1.92 m,  b. 18 Apr 2000 @ Thessaloniki
Alexandros Gkargkalatzidis,   F,  1.81 m,  b. 12 Apr 2000 @ Thessaloniki
Dimitris Loufakis,            M,  1.74 m,  b. 1 Apr 2000 @ Thessaloniki
Giorgos Doumtsis,             F,  1.80 m,  b. 4 Mar 2000 @ Florina
Alexandros Tereziou,          F,  1.81 m,  b. 1 Mar 2000 @ Nafplion
Kristo Shehu,                 F,  1.89 m,  b. 1 Mar 2000 @ Eretria
Lefteris Lyratzis,            D,  1.75 m,  b. 22 Feb 2000 @ Kavala
Giannis Michailidis,          D,  1.85 m,  b. 18 Feb 2000 @ Giannitsa
Dimitrios Fytopoulos,         M,  - ,      b. 11 Feb 2000
Giorgos Antzoulas,            D,  1.83 m,  b. 4 Feb 2000 @ Tripoli
