=================================
=  Ireland

Ben Andreucci,                F,  - ,      b. 5 Oct 2004 @ Bedford
David Toure,                  D,  - ,      b. 1 Oct 2004
Jamie Mullins,                M,  - ,      b. 29 Sep 2004
Cian Coleman,                 F,  - ,      b. 23 Sep 2004 @ Pudsey
Josh Seary,                   D,  - ,      b. 10 Sep 2004 @ Liverpool
Lennon Gill,                  F,  - ,      b. 24 Aug 2004
James Golding,                D,  1.88 m,  b. 10 Aug 2004 @ Sutton
Chris Lotefa,                 F,  - ,      b. 8 Aug 2004
Aaron Maguire,                G,  - ,      b. 25 Jul 2004 @ Leytonstone
Bradley Rogers,               M,  - ,      b. 23 Jul 2004
Daire McCarthy,               D,  - ,      b. 12 Jul 2004
Aaron O'Reilly,               D,  - ,      b. 29 Jun 2004
Colin Henderson,              M,  - ,      b. 26 Jun 2004 @ Cobh
Alex Murphy,                  D,  - ,      b. 25 Jun 2004 @ Galway
Michael Keyes,                D,  - ,      b. 25 Jun 2004
Jad Hakiki,                   M,  1.78 m,  b. 23 Jun 2004 @ Dublin
Luke Pearce,                  F,  - ,      b. 8 Jun 2004
Oisin Coleman,                M,  - ,      b. 29 May 2004
Gbemi Arubi,                  F,  - ,      b. 26 May 2004
Jack Supple,                  M,  - ,      b. 24 May 2004
Sean O'Donnell,               D,  1.78 m,  b. 2 May 2004 @ Carndonagh
Mikey Raggett,                F,  - ,      b. 12 Apr 2004 @ Kilkenny
Harry Curtis,                 D,  1.88 m,  b. 8 Apr 2004 @ Wexford
Liam Mullan,                  M,  - ,      b. 7 Apr 2004
Harry Vaughan,                M,  1.74 m,  b. 6 Apr 2004 @ Trafford
Conor Campbell,               M,  - ,      b. 5 Apr 2004
Ben Curtis,                   D,  - ,      b. 27 Mar 2004 @ Navan
Anthony Mayo,                 M,  - ,      b. 10 Mar 2004
Éanna Clancy,                 D,  1.85 m,  b. 26 Feb 2004 @ Glenfarne
Jack O'Reilly,                M,  - ,      b. 20 Feb 2004
Eric Yoro,                    D,  1.83 m,  b. 19 Feb 2004 @ Dublin
Fiachra Pagel,                G,  - ,      b. 16 Feb 2004
Billy Brooks,                 M,  - ,      b. 15 Feb 2004
Callum Ralph,                 D,  1.75 m,  b. 3 Feb 2004 @ Dublin
Daniel McCarthy,              M,  - ,      b. 27 Jan 2004
Zayd Abada,                   M,  - ,      b. 27 Jan 2004
Ed McJannet,                  M,  - ,      b. 25 Jan 2004
