=================================
=  Congo DR

Parfait Mandanda,             G,  1.82 m,  b. 10 Oct 1989 @ Nevers
Ridge Munsy,                  F,  1.86 m,  b. 9 Jul 1989 @ Lucerne
Yannick Bolasie,              M,  1.88 m,  b. 24 May 1989 @ Kinshasa
Ley Matampi,                  G,  1.80 m,  b. 18 Apr 1989 @ Kinshasa

Ritchie Kitoko,               M,  1.77 m,  b. 11 Jun 1988 @ Kinshasa
Wilfred Moke,                 D,  1.83 m,  b. 12 Feb 1988 @ Kinshasa

Jacques Maghoma,              M,  1.78 m,  b. 23 Oct 1987 @ Lubumbashi
Youssouf Mulumbu,             M,  1.77 m,  b. 25 Jan 1987 @ Kinshasa

Issama Mpeko,                 D,  1.73 m,  b. 3 Mar 1986 @ Mbandaka
Assani Lukimya-Mulongoti,     D,  1.89 m,  b. 25 Jan 1986 @ Uwira

Trésor Mputu,                 F,  1.72 m,  b. 10 Dec 1985 @ Kinshasa
Dieumerci Mbokani,            F,  1.85 m,  b. 22 Nov 1985 @ Kinshasa

Cédric Makiadi,               M,  1.78 m,  b. 23 Feb 1984 @ Kinshasa
