=================================
=  Slovenia

Andrés Vombergar,             F,  1.87 m,  b. 20 Nov 1994 @ Villa Luzuriaga
Leo Štulac,                   M,  1.75 m,  b. 26 Sep 1994 @ Koper
Luka Krajnc,                  D,  1.88 m,  b. 19 Sep 1994 @ Ptuj
Jure Balkovec,                D,  1.85 m,  b. 9 Sep 1994 @ Novo Mesto
Mitja Lotrič,                 M,  1.69 m,  b. 3 Sep 1994
Miha Zajc,                    M,  1.80 m,  b. 1 Jul 1994 @ Šempeter pri Gorici
Rudi Požeg Vancaš,            M,  1.74 m,  b. 15 Mar 1994 @ Novo Mesto
Andraž Šporar,                F,  1.80 m,  b. 27 Feb 1994 @ Ljubljana
Amadej Maroša,                F,  1.78 m,  b. 7 Feb 1994 @ Murska Sobota

Benjamin Verbič,              M,  1.79 m,  b. 27 Nov 1993 @ Celje
Lovro Bizjak,                 F,  1.84 m,  b. 12 Nov 1993 @ Šmartno ob Paki
Rok Sirk,                     F,  1.84 m,  b. 10 Sep 1993
Erik Janža,                   D,  1.73 m,  b. 21 Jun 1993 @ Murska Sobota
Miha Blažič,                  D,  1.85 m,  b. 8 May 1993 @ Koper
Marko Nunić,                  F,  1.88 m,  b. 16 Mar 1993 @ Ljubljana
Jan Oblak,                    G,  1.89 m,  b. 7 Jan 1993 @ Škofja Loka

Haris Vučkić,                 M,  1.88 m,  b. 21 Aug 1992 @ Ljubljana
Žan Majer,                    M,  1.79 m,  b. 25 Jul 1992 @ Maribor
Blaž Vrhovec,                 M,  1.80 m,  b. 20 Feb 1992 @ Ljubljana

Damjan Bohar,                 M,  1.72 m,  b. 18 Oct 1991 @ Murska Sobota
Robert Berič,                 F,  1.88 m,  b. 17 Jun 1991 @ Krsko
Patrik Eler,                  F,  1.85 m,  b. 13 Jun 1991 @ Šempeter pri Gorici
Saša Živec,                   M,  1.70 m,  b. 2 Apr 1991 @ Šempeter pri Gorici

Kevin Kampl,                  M,  1.80 m,  b. 9 Oct 1990 @ Solingen
Amedej Vetrih,                M,  1.81 m,  b. 16 Sep 1990 @ Šempeter pri Gorici
Aljaž Struna,                 D,  1.91 m,  b. 4 Aug 1990 @ Piran
Matic Kotnik,                 G,  1.90 m,  b. 23 Jul 1990 @ Slovenj Gradec
Rajko Rep,                    M|F,1.77 m,  b. 20 Jun 1990 @ Rogatec
Miha Mevlja,                  D,  1.90 m,  b. 12 Jun 1990 @ Ljubljana
Vid Belec,                    G,  1.93 m,  b. 6 Jun 1990 @ Maribor
Rene Krhin,                   M,  1.89 m,  b. 21 May 1990 @ Maribor

Nik Omladič,                  M,  1.82 m,  b. 21 Aug 1989 @ Celje
Nejc Skubic,                  D,  1.78 m,  b. 13 Jun 1989 @ Ljubljana
Nejc Vidmar,                  G,  1.88 m,  b. 31 Mar 1989 @ Ljubljana
Roman Bezjak,                 F,  1.79 m,  b. 21 Feb 1989 @ Slovenj Gradec
Tim Matavž,                   F,  1.88 m,  b. 13 Jan 1989 @ Šempeter pri Gorici
Jasmin Kurtić,                M,  1.86 m,  b. 10 Jan 1989 @ Črnomelj

Josip Iličić,                 F,  1.90 m,  b. 29 Jan 1988 @ Kranj
Tadej Trdina,                 F,  1.89 m,  b. 25 Jan 1988 @ Slovenj Gradec

Valter Birsa,                 F,  1.84 m,  b. 7 Aug 1986 @ Sempeter pri Gorici
Bojan Jokič,                  D,  1.76 m,  b. 17 May 1986 @ Kranj
Nejc Pečnik,                  M,  1.89 m,  b. 3 Jan 1986 @ Dravograd

Elvedin Džinič,               D,  1.85 m,  b. 25 Aug 1985 @ Zavidovići

Zlatko Dedič,                 F,  1.82 m,  b. 5 Oct 1984 @ Bihać
Dalibor Stevanovič,           M,  1.83 m,  b. 27 Sep 1984 @ Ljubljana
Andraž Kirm,                  M,  1.83 m,  b. 6 Sep 1984 @ Ljubljana
Samir Handanovič,             G,  1.93 m,  b. 14 Jul 1984 @ Ljubljana
Mišo Brečko,                  D,  1.78 m,  b. 1 May 1984 @ Trbovlje

