=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting
Dejan Joveljić,               F,  1.81 m,  b. 7 Aug 1999 @ Bijeljina
Njegoš Petrović,              M,  1.85 m,  b. 18 Jul 1999 @ Krupanj
Aleksa Pejić,                 M,  1.90 m,  b. 9 Jul 1999 @ Belgrade
Luka Ilić,                    M,  1.82 m,  b. 2 Jul 1999 @ Niš
Mihajlo Ivančević,            D,  1.87 m,  b. 7 Apr 1999 @ Bačka Topola
Vladan Vidaković,             M,  1.93 m,  b. 14 Mar 1999 @ Novi Sad
Mladen Devetak,               D,  1.84 m,  b. 12 Mar 1999 @ Novi Sad
Djordje Jovanović,            F,  1.85 m,  b. 15 Feb 1999 @ Leposavić
Nemanja Mićević,              D,  1.90 m,  b. 28 Jan 1999 @ Užice
Filip Ugrinić,                M,  1.82 m,  b. 5 Jan 1999 @ Lucerne

Stefano Surdanović,           F,  1.83 m,  b. 23 Nov 1998 @ Wels
Erhan Mašović,                D,  1.87 m,  b. 22 Nov 1998 @ Novi Pazar
Nikola Čumić,                 F,  1.76 m,  b. 20 Nov 1998 @ Užice
Petar Mićin,                  M,  1.89 m,  b. 29 Sep 1998 @ Novi Sad
Nikola Pejović,               D,  1.85 m,  b. 22 Sep 1998 @ Zemun
Luka Adžić,                   M,  1.84 m,  b. 17 Sep 1998 @ Belgrade
Nikola Stevanović,            D,  1.90 m,  b. 13 Sep 1998 @ Niš
Filip Damjanović,             D,  1.77 m,  b. 2 Jul 1998 @ Belgrade
Adrian Szöke,                 M,  1.86 m,  b. 1 Jul 1998 @ Senta
Danilo Pejović,               D,  1.91 m,  b. 21 Jun 1998 @ Subotica
Sava Petrov,                  F,  1.87 m,  b. 18 Jun 1998 @ Belgrade
Dominik Dinga,                D,  1.85 m,  b. 7 Apr 1998 @ Novi Sad
Marko Nikolić,                D,  1.83 m,  b. 31 Mar 1998 @ Belgrade
Lazar Romanić,                F,  1.80 m,  b. 25 Mar 1998 @ Kragujevac
Uroš Račić,                   M,  1.93 m,  b. 17 Mar 1998 @ Kraljevo
Kosta Aleksić,                F,  1.82 m,  b. 9 Mar 1998 @ Novi Sad
Veljko Birmančević,           M,  1.78 m,  b. 5 Mar 1998 @ Šabac
Jovan Nišić,                  M,  1.77 m,  b. 3 Mar 1998 @ Belgrade
Igor Zlatanović,              F,  1.80 m,  b. 10 Feb 1998 @ Užice
Marko Ilić,                   G,  1.91 m,  b. 3 Feb 1998 @ Novi Sad
Milos Spasić,                 D,  1.80 m,  b. 29 Jan 1998
Bogdan Stamenković,           F,  1.84 m,  b. 19 Jan 1998 @ Surdulica
Nemanja Stojić,               D,  1.90 m,  b. 15 Jan 1998 @ Belgrade

Luka Jović,                   F,  1.81 m,  b. 23 Dec 1997 @ Bijeljina
Aleksandar Busnić,            M,  1.91 m,  b. 4 Dec 1997 @ Belgrade
Nikola Milenković,            D,  1.95 m,  b. 12 Oct 1997 @ Belgrade
Bojan Avramović,              D,  1.80 m,  b. 17 Sep 1997 @ Oberstdorf
Andrija Majdevac,             F,  1.86 m,  b. 7 Aug 1997 @ Kruševac
Lazar Randjelović,            M,  1.78 m,  b. 5 Aug 1997 @ Pertate
Ivan Šaponjić,                F,  1.92 m,  b. 2 Aug 1997 @ Nova Varoš
Miloš Spasić,                 F,  1.85 m,  b. 29 Jul 1997 @ Piot
Aleksandar Lutovac,           F,  1.75 m,  b. 28 Jun 1997 @ Belgrade
Strahinja Tanasijević,        D,  1.83 m,  b. 12 Jun 1997 @ Mladenovac
Djordje Nikolić,              G,  1.95 m,  b. 13 Apr 1997 @ Belgrade
Nikola Kuveljić,              M,  1.94 m,  b. 6 Apr 1997 @ Belgrade
Petar Gigić,                  F,  1.84 m,  b. 7 Mar 1997 @ Priština
Nemanja Tekijaski,            D,  1.86 m,  b. 2 Mar 1997 @ Pančevo
Stefan Šapić,                 D,  2.02 m,  b. 26 Feb 1997 @ Belgrade
Vanja Milinković-Savić,       G,  2.02 m,  b. 20 Feb 1997 @ Ourense
Nemanja Glavčić,              M,  1.72 m,  b. 19 Feb 1997 @ Kraljevo
Stefan Stojanović,            G,  1.88 m,  b. 9 Feb 1997 @ Kruševac
Nikola Radmanovac,            D,  1.89 m,  b. 30 Jan 1997 @ Kruševac
Nemanja Belaković,            F,  1.82 m,  b. 8 Jan 1997 @ Kraljevo
Lazar Zličić,                 M,  1.82 m,  b. 7 Jan 1997 @ Novi Sad

Dragan Rosić,                 G,  1.89 m,  b. 15 Nov 1996 @ Užice
Miroslav Bogosavac,           D,  1.76 m,  b. 14 Oct 1996 @ Sremska Mitrovica
Nikola Petković,              M,  1.84 m,  b. 23 Sep 1996 @ Belgrade
