=================================
=  Japan

Keita Kosugi,                 D,  1.68 m,  b. 18 Mar 2006
Tomoki Iwata,                 D|M,1.78 m,  b. 7 Apr 1997 @ Usa
Koji Miyoshi,                 M|F,1.67 m,  b. 26 Mar 1997 @ Kawasaki
Yuki Soma,                    M,  1.65 m,  b. 25 Feb 1997 @ Tokyo
Yuta Nakayama,                D,  1.79 m,  b. 16 Feb 1997 @ Ryugasaki
Tsuyoshi Watanabe,            D,  1.84 m,  b. 5 Feb 1997 @ Saitama
Ryosuke Kojima,               G,  1.82 m,  b. 30 Jan 1997 @ Aichi
Itsuki Urata,                 D,  1.77 m,  b. 29 Jan 1997 @ Tokyo
Ko Itakura,                   D,  1.86 m,  b. 27 Jan 1997 @ Yokohama

Ryoya Ogawa,                  D,  1.79 m,  b. 24 Nov 1996 @ Tokyo
Takuma Nishimura,             F,  1.78 m,  b. 22 Oct 1996 @ Nagoya
Tatsuhiro Sakamoto,           M,  1.70 m,  b. 22 Oct 1996 @ Tokyo
Ko Matsubara,                 D,  1.82 m,  b. 30 Aug 1996 @ Hamamatsu
Yosuke Ideguchi,              M,  1.70 m,  b. 23 Aug 1996 @ Fukuoka
Daichi Kamada,                M,  1.80 m,  b. 5 Aug 1996 @ Ehime
Koya Kitagawa,                F,  1.78 m,  b. 26 Jul 1996 @ Shizuoka
Yuma Suzuki,                  F,  1.81 m,  b. 26 Apr 1996 @ Choshi
Kento Misao,                  M,  1.80 m,  b. 16 Apr 1996 @ Musashino
Masaya Okugawa,               M,  1.76 m,  b. 14 Apr 1996 @ Koka
Mitsuru Maruoka,              M,  1.73 m,  b. 6 Jan 1996 @ Tokushima

Ado Onaiwu,                   F,  1.80 m,  b. 8 Nov 1995 @ Kamikawa
Hayao Kawabe,                 M,  1.74 m,  b. 8 Sep 1995 @ Hiroshima
Koki Anzai,                   D,  1.72 m,  b. 31 May 1995 @ Hyogo
Hidemasa Morita,              M,  1.77 m,  b. 10 May 1995 @ Takatsuki
Kosuke Nakamura,              G,  1.84 m,  b. 27 Feb 1995 @ Kita
Kyogo Furuhashi,              F,  1.70 m,  b. 20 Jan 1995 @ Ikoma
Takumi Minamino,              M|F,1.74 m,  b. 16 Jan 1995 @ Osaka

Naoki Maeda,                  M,  1.75 m,  b. 17 Nov 1994 @ Saitama
Takuma Asano,                 F,  1.71 m,  b. 10 Nov 1994 @ Mie
Naomichi Ueda,                D,  1.86 m,  b. 24 Oct 1994 @ Uto
Kosuke Kinoshita,             F,  1.82 m,  b. 3 Oct 1994 @ Tokyo
Shoya Nakajima,               M,  1.64 m,  b. 23 Aug 1994 @ Hachioji
Sai van Wermeskerken,         D,  1.78 m,  b. 28 Jun 1994 @ Maastricht
Sei Muroya,                   D,  1.74 m,  b. 5 Apr 1994 @ Kumatori
Musashi Suzuki,               F,  1.84 m,  b. 11 Feb 1994 @ Montego Bay

Yuya Kubo,                    M,  1.77 m,  b. 24 Dec 1993 @ Yamaguchi
Miki Yamane,                  D,  1.78 m,  b. 22 Dec 1993 @ Yokohama
Kento Hashimoto,              M,  1.79 m,  b. 16 Aug 1993 @ Tokyo
Yukiya Sugita,                M,  1.64 m,  b. 22 Apr 1993 @ Saitama
Junya Ito,                    F,  1.76 m,  b. 9 Mar 1993 @ Yokosuka
Wataru Endo,                  D|M,1.76 m,  b. 9 Feb 1993 @ Yokohama
Ryota Oshima,                 M,  1.68 m,  b. 23 Jan 1993 @ Shizuoka

Ryo Miyaichi,                 M|F,1.83 m,  b. 14 Dec 1992 @ Okazaki
Gen Shoji,                    D,  1.80 m,  b. 11 Dec 1992 @ Kobe
Yoshinori Muto,               F,  1.78 m,  b. 15 Jul 1992 @ Tokyo
Yoshinori Mutō,               F,  1.78 m,  b. 15 Jul 1992 @ Tokyo
Gaku Shibasaki,               M,  1.75 m,  b. 28 May 1992 @ Aomori
Takashi Usami,                M,  1.78 m,  b. 6 May 1992 @ Kyoto
Yuki Kobayashi,               M,  1.82 m,  b. 24 Apr 1992 @ Tokyo
Daniel Schmidt,               G,  1.96 m,  b. 3 Feb 1992 @ Illinois

Kazuki Nagasawa,              M,  1.73 m,  b. 16 Dec 1991 @ Chiba
Shogo Taniguchi,              D,  1.82 m,  b. 15 Jul 1991 @ Kumamoto
Genki Haraguchi,              M|F,1.77 m,  b. 9 May 1991 @ Saitama
Ryota Morioka,                M,  1.80 m,  b. 12 Apr 1991 @ Hyogo
Gotoku Sakai,                 D,  1.75 m,  b. 14 Mar 1991 @ New York

Hotaru Yamaguchi,             M,  1.73 m,  b. 6 Oct 1990 @ Mie
Yuya Osako,                   F,  1.82 m,  b. 18 May 1990 @ Kagoshima
Hiroki Sakai,                 D,  1.83 m,  b. 12 Apr 1990 @ Nagano
Manabu Saito,                 F,  1.65 m,  b. 4 Apr 1990 @ Kanagawa
Yoichiro Kakitani,            F,  1.73 m,  b. 3 Jan 1990 @ Osaka

Hiroshi Kiyotake,             M,  1.72 m,  b. 12 Nov 1989 @ Oita
Taisuke Akiyoshi,             M,  1.74 m,  b. 18 Apr 1989 @ Kumamoto
Shinji Kagawa,                M,  1.72 m,  b. 17 Mar 1989 @ Hyogo
Shuichi Gonda,                G,  1.87 m,  b. 3 Mar 1989 @ Tokyo

Maya Yoshida,                 D,  1.89 m,  b. 24 Aug 1988 @ Nagasaki
Takashi Inui,                 M,  1.69 m,  b. 2 Jun 1988 @ Ōmihachiman
Takayuki Morimoto,            F,  1.80 m,  b. 7 May 1988 @ Tokyo
Atsuto Uchida,                D,  1.76 m,  b. 27 Mar 1988 @ Shizuoka

Masato Morishige,             M,  1.79 m,  b. 21 May 1987 @ Hiroshima
Tomoaki Makino,               D,  1.82 m,  b. 11 May 1987 @ Hiroshima

Yuto Nagatomo,                D,  1.70 m,  b. 12 Sep 1986 @ Ehime
Shusaku Nishikawa,            G,  1.83 m,  b. 18 Jun 1986 @ Oita
Keisuke Honda,                M,  1.82 m,  b. 13 Jun 1986 @ Osaka
Hajime Hosogai,               M,  1.77 m,  b. 10 Jun 1986 @ Gumma
