=================================
=  Poland

Łukasz Gerstenstein,          M,  1.75 m,  b. 6 Oct 2004 @ Kowary
Piotr Urbański,               F,  1.90 m,  b. 29 Sep 2004 @ Lublin
Miłosz Brzozowski,            M,  1.80 m,  b. 17 Sep 2004 @ Świnoujście
Kacper Urbański,              M,  1.78 m,  b. 7 Sep 2004 @ Gdańsk
Hubert Szulc,                 F,  1.89 m,  b. 27 Aug 2004 @ Leszno
Oliwier Hyla,                 D,  1.84 m,  b. 24 Aug 2004 @ Kraków
Nikodem Zielonka,             M,  1.84 m,  b. 17 Aug 2004 @ Katowice
Miłosz Kurowski,              M,  1.76 m,  b. 30 Jul 2004 @ Wrocław
Oliwier Zych,                 G,  1.91 m,  b. 28 Jun 2004 @ Gdańsk
Jędrzej Zając,                M,  - ,      b. 15 Jun 2004
Sławomir Abramowicz,          G,  1.87 m,  b. 9 Jun 2004 @ Warsaw
Marcel Łubik,                 G,  1.88 m,  b. 19 May 2004 @ Nowogard
Miłosz Matysik,               D,  1.90 m,  b. 26 Apr 2004 @ Białystok
Iwo Kaczmarski,               M,  1.83 m,  b. 16 Apr 2004 @ Kielce
Mateusz Kowalczyk,            M,  1.81 m,  b. 16 Apr 2004 @ Warsaw
Aleksander Bobek,             G,  1.92 m,  b. 7 Apr 2004 @ Łódź
Szymon Karasiński,            D,  1.82 m,  b. 25 Mar 2004
Szymon Sarbinowski,           M,  - ,      b. 24 Mar 2004 @ Poznań
Jan Żuberek,                  F,  1.88 m,  b. 13 Mar 2004 @ Białystok
Szymon Weirauch,              G,  1.90 m,  b. 5 Mar 2004 @ Wałbrzych
Bartłomiej Kolec,             M,  - ,      b. 2 Mar 2004
Szczepan Mucha,               M,  1.73 m,  b. 29 Feb 2004 @ Bielsko-Biała
Wiktor Kamiński,              F,  1.82 m,  b. 23 Feb 2004 @ Ostrowiec Świętokrzyski
Mateusz Chmarek,              F,  1.86 m,  b. 14 Feb 2004 @ Nowy Sącz
Jakub Niedbała,               M,  1.78 m,  b. 11 Feb 2004 @ Kraków
Jakub Niemczyk,               F,  1.78 m,  b. 22 Jan 2004 @ Zielona Góra
Igor Strzalek,                M,  1.83 m,  b. 19 Jan 2004 @ Siedlce
Tomasz Pieńko,                M,  1.85 m,  b. 5 Jan 2004 @ Wrocław

Rafał Mamla,                  G,  1.95 m,  b. 22 Dec 2003 @ Skarżysko-Kamienna
Tomasz Wójtowicz,             M,  1.80 m,  b. 19 Dec 2003 @ Katowice
Miłosz Strzeboński,           M,  1.81 m,  b. 19 Nov 2003 @ Kraków
Olaf Korczakowski,            M,  1.83 m,  b. 11 Nov 2003 @ Szczecin
Ricardo Gonçalves,            M,  1.74 m,  b. 10 Nov 2003 @ Szczecin
Dominik Marczuk,              D,  1.77 m,  b. 1 Nov 2003 @ Międzyrzec Podlaski
Kacper Kozłowski,             M,  1.77 m,  b. 16 Oct 2003 @ Koszalin
Mateusz Musiałowski,          M,  - ,      b. 16 Oct 2003 @ Katowice
Piotr Gruszecki,              D,  - ,      b. 12 Oct 2003
Filip Borowski,               D,  1.81 m,  b. 6 Oct 2003 @ Bydgoszcz
Xavier Dziekoński,            G,  1.88 m,  b. 6 Oct 2003 @ Grajewo
Fabian Mrozek,                G,  - ,      b. 28 Sep 2003 @ Wrocław
Hubert Lenart,                D,  - ,      b. 25 Sep 2003
Jakub Pochcioł,               M,  1.85 m,  b. 26 Aug 2003 @ Rydułtowy
Kacper Trelowski,             G,  1.90 m,  b. 19 Aug 2003 @ Częstochowa
Aleksander Gajgier,           D,  1.93 m,  b. 11 Aug 2003 @ Otwock
Filip Wilak,                  F,  1.80 m,  b. 6 Aug 2003 @ Poznań
Kewin Komar,                  G,  1.93 m,  b. 26 Jul 2003 @ Bełchatów
Oskar Wójcik,                 D,  - ,      b. 21 Jul 2003
Tomasz Kucharski,             G,  - ,      b. 26 May 2003
Przemysław Maj,               M,  1.75 m,  b. 6 Apr 2003 @ Rzeszów
Maksymilian Pingot,           D,  1.88 m,  b. 1 Apr 2003 @ Konin
Patryk Kusztal,               M,  1.76 m,  b. 28 Mar 2003 @ Legnica
Adrian Bukowski,              M,  1.88 m,  b. 18 Mar 2003
Paweł Chrupałła,              F,  1.83 m,  b. 16 Mar 2003 @ Szprotawa
Jan Krzywański,               G,  1.89 m,  b. 10 Mar 2003 @ Warsaw
Albert Posiadała,             G,  1.92 m,  b. 25 Feb 2003 @ Siedlce
Ariel Mosór,                  D,  1.82 m,  b. 19 Feb 2003 @ Katowice
Gabriel Kirejczyk,            F,  1.96 m,  b. 12 Feb 2003 @ Oświęcim
Mateusz Łęgowski,             M,  1.81 m,  b. 29 Jan 2003 @ Brodnica
Aleksander Buksa,             F,  1.82 m,  b. 15 Jan 2003 @ Kraków
Ignacy Dawid,                 M,  1.71 m,  b. 15 Jan 2003 @ Łódź
Mariusz Fornalczyk,           M,  1.72 m,  b. 15 Jan 2003 @ Bytom
Kacper Skwierczyński,         M,  1.77 m,  b. 11 Jan 2003 @ Siedlce
Szymon Wlodarczyk,            F,  1.89 m,  b. 5 Jan 2003 @ Wałbrzych
Krzysztof Bąkowski,           G,  1.89 m,  b. 4 Jan 2003 @ Poznań

Mateusz Dudek,                G,  1.82 m,  b. 14 Dec 2002 @ Kolbuszowa
Maciej Kowal,                 G,  1.95 m,  b. 9 Dec 2002 @ Dzierżoniów
Grzegorz Glapka,              M,  1.82 m,  b. 22 Nov 2002 @ Chorzów
Maksymilian Boruc,            G,  1.95 m,  b. 15 Nov 2002 @ Warsaw
Kacper Tobiasz,               G,  1.88 m,  b. 4 Nov 2002 @ Płock
Jakub Kałuziński,             M,  1.72 m,  b. 31 Oct 2002
Arkadiusz Pyrka,              D,  1.77 m,  b. 20 Sep 2002 @ Radom
Kacper Bieszczad,             G,  1.92 m,  b. 11 Sep 2002 @ Krosno
Adam Kramarz,                 F,  1.75 m,  b. 7 Aug 2002 @ Mielec
Antoni Klimek,                M,  1.72 m,  b. 4 Aug 2002 @ Wrocław
Krystian Kardyś,              M,  - ,      b. 3 Aug 2002
Dawid Barnowski,              M,  1.82 m,  b. 11 Jul 2002 @ Nowy Sącz
Jakub Konstantyn,             M,  1.75 m,  b. 26 Jun 2002 @ Kraków
Jakub Myszor,                 M,  1.75 m,  b. 7 Jun 2002 @ Tychy
Jakub Kamiński,               M,  1.79 m,  b. 5 Jun 2002 @ Ruda Śląska
Kajetan Szmyt,                M,  1.71 m,  b. 29 May 2002 @ Poznań
Bartłomiej Kłudka,            D,  1.86 m,  b. 14 May 2002 @ Lubin
Filip Szymczak,               F,  1.84 m,  b. 6 May 2002 @ Poznań
Krzysztof Toporkiewicz,       F,  1.76 m,  b. 21 Apr 2002 @ Limanowa
Lucjan Klisiewicz,            F,  1.93 m,  b. 20 Apr 2002 @ Rzeszów
Damian Urban,                 D,  1.80 m,  b. 8 Apr 2002 @ Kraków
Kamil Lukoszek,               M,  1.75 m,  b. 4 Apr 2002 @ Opole
Bartosz Klebaniuk,            G,  1.91 m,  b. 3 Apr 2002 @ Biała Podlaska
Michał Rakoczy,               M,  1.71 m,  b. 30 Mar 2002 @ Jasło
Jakub Sangowski,              F,  1.89 m,  b. 11 Mar 2002 @ Poznań
Marcel Wszołek,               D,  1.80 m,  b. 11 Mar 2002 @ Grudziądz
Gabriel Kobylak,              G,  1.90 m,  b. 20 Feb 2002 @ Brzozów
Mateusz Stępień,              M,  1.84 m,  b. 12 Feb 2002 @ Ustka
Hubert Idasiak,               G,  1.85 m,  b. 3 Feb 2002 @ Sławno
Radosław Turek,               D,  1.78 m,  b. 28 Jan 2002 @ Kielce
Kelechukwu Ibe-Torti,         F,  1.74 m,  b. 26 Jan 2002 @ Abuja
Oskar Krzyzak,                D,  1.86 m,  b. 24 Jan 2002 @ Częstochowa
Krzysztof Wróblewski,         G,  1.88 m,  b. 23 Jan 2002 @ Kraków
Nicola Zalewski,              D,  1.73 m,  b. 23 Jan 2002 @ Tivoli
Marcel Wędrychowski,          M,  1.71 m,  b. 13 Jan 2002 @ Szczecin
