=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Clemens Riedel,               D,  1.86 m,  b. 19 Jul 2003 @ Wölfersheim
Bambasé Conté,                M,  1.78 m,  b. 7 Jul 2003 @ Saarbrücken
Eniss Shabani,                M,  1.80 m,  b. 29 May 2003 @ Gießen
Elidon Qenaj,                 F,  1.98 m,  b. 22 May 2003 @ Böblingen
Luca Netz,                    D,  1.80 m,  b. 15 May 2003 @ Buch
Dario Gebuhr,                 D,  1.88 m,  b. 6 May 2003 @ Wiesbaden
Florian Wirtz,                M,  1.75 m,  b. 3 May 2003 @ Pulheim
Angelo Brückner,              D,  1.78 m,  b. 29 Apr 2003 @ Munich
Ben Bobzien,                  F,  1.75 m,  b. 29 Apr 2003 @ Gießen
Niklas Sauter,                G,  1.86 m,  b. 6 Apr 2003 @ Münsterlingen
Lasse Wilhelm,                D,  1.86 m,  b. 20 Mar 2003
Nahuel Noll,                  G,  1.88 m,  b. 17 Mar 2003 @ Munich
Luca Denk,                    D,  1.85 m,  b. 2 Mar 2003
Jamal Musiala,                M,  1.81 m,  b. 26 Feb 2003 @ Stuttgart
Daniel Hausmann,              M,  - ,      b. 12 Feb 2003 @ Leutkirch im Allgäu
Max Rosenfelder,              D,  1.86 m,  b. 10 Feb 2003 @ Freiburg im Breisgau
Mehmet Ibrahimi,              M,  1.80 m,  b. 9 Feb 2003 @ Troisdorf
Philipp Schulze,              G,  1.89 m,  b. 29 Jan 2003 @ Neustadt am Rübenberge
Harpreet Ghotra,              M,  1.80 m,  b. 17 Jan 2003 @ Frankfurt am Main
Frans Krätzig,                M,  1.77 m,  b. 14 Jan 2003 @ Nuremberg
Torben Rhein,                 M,  1.73 m,  b. 12 Jan 2003 @ Berlin

Noel Futkeu,                  F,  1.83 m,  b. 6 Dec 2002 @ Essen
Luis Hartwig,                 F,  1.80 m,  b. 23 Nov 2002 @ Witten
Maximilian Beier,             F,  1.83 m,  b. 17 Oct 2002 @ Brandenburg an der Havel
Maximilian Brüll,             G,  1.87 m,  b. 26 Aug 2002 @ Munich
Lilian Egloff,                M,  1.83 m,  b. 20 Aug 2002 @ Heilbronn
Marcus Müller,                F,  1.88 m,  b. 20 Aug 2002
Fisnik Asllani,               F,  1.88 m,  b. 8 Aug 2002 @ Berlin
Merlin Röhl,                  M,  1.91 m,  b. 5 Jul 2002 @ Potsdam
Kenneth Schmidt,              D,  1.86 m,  b. 3 Jun 2002 @ Freiburg im Breisgau
Rocco Reitz,                  M,  1.75 m,  b. 29 May 2002 @ Duisburg
Jan Thielmann,                M,  1.78 m,  b. 26 May 2002 @ Föhren
Noah Atubolu,                 G,  1.90 m,  b. 25 May 2002 @ Freiburg im Breisgau
Eric Martel,                  M,  1.86 m,  b. 29 Apr 2002 @ Straubing
Marco John,                   M,  1.82 m,  b. 2 Apr 2002 @ Bad Friedrichshall
Nick Woltemade,               F,  1.98 m,  b. 14 Feb 2002 @ Bremen
Tim Breithaupt,               M,  1.86 m,  b. 7 Feb 2002 @ Offenburg
Karim Adeyemi,                F,  1.77 m,  b. 18 Jan 2002 @ Munich
Ansgar Knauff,                F,  1.80 m,  b. 10 Jan 2002 @ Göttingen

Eren Dinkçi,                  F,  1.87 m,  b. 13 Dec 2001 @ Bremen
Laurenz Dehl,                 M,  1.79 m,  b. 12 Dec 2001 @ Berlin
