=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Kevin Volland,                F,  1.79 m,  b. 30 Jul 1992 @ Marktoberdorf
Jonas Hofmann,                M,  1.76 m,  b. 14 Jul 1992 @ Heidelberg
Mario Götze,                  M,  1.76 m,  b. 3 Jun 1992 @ Memmingen
Alexander Schwolow,           G,  1.89 m,  b. 2 Jun 1992 @ Wiesbaden
Robin Knoche,                 D,  1.72 m,  b. 22 May 1992 @ Braunschweig
Marc-André ter Stegen,        G,  1.87 m,  b. 30 Apr 1992 @ Mönchengladbach
Rico Benatelli,               M,  1.81 m,  b. 17 Mar 1992 @ Bochum
Bernd Leno,                   G,  1.89 m,  b. 4 Mar 1992 @ Bietigheim-Bissingen

Diego Demme,                  M,  1.70 m,  b. 21 Nov 1991 @ Herford
Anthony Jung,                 D,  1.85 m,  b. 3 Nov 1991 @ Villajoyosa
Kevin Vogt,                   D,  1.94 m,  b. 23 Sep 1991 @ Bochum
Mark Uth,                     F,  1.85 m,  b. 24 Aug 1991 @ Cologne
Stefan Bell,                  D,  1.92 m,  b. 24 Aug 1991 @ Andernach
Simon Zoller,                 F,  1.79 m,  b. 26 Jun 1991 @ Friedrichshafen
Pascal Groß,                  M,  1.71 m,  b. 15 Jun 1991 @ Bad Salzungen
Janis Blaswich,               G,  1.93 m,  b. 2 May 1991 @ Mehrhoog
Alexander Meyer,              G,  1.95 m,  b. 13 Apr 1991 @ Bad Oldesloe
Sebastian Polter,             F,  1.92 m,  b. 1 Apr 1991 @ Wilhelmshaven
Kevin Müller,                 G,  1.89 m,  b. 15 Mar 1991 @ Rostock
Christoph Kramer,             M,  1.90 m,  b. 19 Feb 1991 @ Solingen
Manuel Gulde,                 D,  1.83 m,  b. 12 Feb 1991 @ Mannheim
Patrick Herrmann,             F,  1.79 m,  b. 12 Feb 1991 @ Saarbrücken
Kevin Behrens,                F,  1.84 m,  b. 3 Feb 1991 @ Bremen
Daniel Batz,                  G,  1.90 m,  b. 12 Jan 1991 @ Erlangen

Vitus Eicher,                 G,  1.90 m,  b. 5 Nov 1990 @ Erding
İlkay Gündoğan,               M,  1.80 m,  b. 24 Oct 1990 @ Gelsenkirchen
Sebastian Rode,               M,  1.79 m,  b. 11 Oct 1990 @ Frankfurt am Main
Ferdinand Oswald,             G,  1.83 m,  b. 5 Oct 1990 @ Weilheim
Sven Michel,                  F,  1.78 m,  b. 15 Jul 1990 @ Freudenberg
Fabian Holland,               D,  1.72 m,  b. 11 Jul 1990 @ Berlin
Kevin Trapp,                  G,  1.89 m,  b. 8 Jul 1990 @ Merzig
Oliver Baumann,               G,  1.87 m,  b. 2 Jun 1990 @ Breisach
Tony Jantschke,               D,  1.77 m,  b. 7 Apr 1990 @ Hoyerswerda
Nicolas Höfler,               M,  1.81 m,  b. 9 Mar 1990 @ Überlingen
Toni Kroos,                   M,  1.83 m,  b. 4 Jan 1990 @ Greifswald

Klaus Gjasula,                M,  1.92 m,  b. 14 Dec 1989 @ Tirana
Thomas Müller,                F,  1.86 m,  b. 13 Sep 1989 @ Weilheim in Oberbayern
Tobias Kempe,                 M,  1.84 m,  b. 27 Jun 1989 @ Wesel
Marco Reus,                   F,  1.80 m,  b. 31 May 1989 @ Dortmund
Christian Groß,               D,  1.82 m,  b. 8 Feb 1989 @ Bremen

Mats Hummels,                 D,  1.92 m,  b. 16 Dec 1988 @ Bensberg
Jens Grahl,                   G,  1.96 m,  b. 22 Sep 1988 @ Stuttgart
Manuel Riemann,               G,  1.85 m,  b. 9 Sep 1988 @ Mühldorf am Inn
Jérôme Boateng,               D,  1.92 m,  b. 3 Sep 1988 @ Berlin
Sven Ulreich,                 G,  1.92 m,  b. 3 Aug 1988 @ Schorndorf
Tobias Sippel,                G,  1.80 m,  b. 22 Mar 1988 @ Bad Dürkheim

Michael Esser,                G,  1.98 m,  b. 22 Nov 1987 @ Castrop-Rauxel
Andreas Luthe,                G,  1.94 m,  b. 10 Mar 1987 @ Velbert
Norman Theuerkauf,            D,  1.83 m,  b. 24 Jan 1987 @ Nordhausen

Manuel Neuer,                 G,  1.92 m,  b. 27 Mar 1986 @ Gelsenkirchen

Philipp Pentke,               G,  1.91 m,  b. 1 May 1985 @ Freiberg
