=================================
=  Switzerland

Noah Henchoz,                 D,  1.82 m,  b. 22 Feb 2002 @ Chêne-Bougeries
Fabian Rieder,                M,  1.79 m,  b. 16 Feb 2002 @ Bern
Bećir Omeragić,               D,  1.87 m,  b. 20 Jan 2002 @ Geneva
Silvan Wallner,               D,  1.85 m,  b. 15 Jan 2002 @ Zürich
Mihailo Stevanović,           M,  1.86 m,  b. 4 Jan 2002 @ Liestal
Yannick Cotter,               F,  1.76 m,  b. 3 Jan 2002 @ Sion

Alex Jankewitz,               M,  1.79 m,  b. 25 Dec 2001 @ Vevey
Natan Girma,                  M,  1.90 m,  b. 11 Dec 2001 @ Lausanne
Ricardo Alves,                M,  1.75 m,  b. 2 Dec 2001 @ Geneva
Serif Berbić,                 G,  1.94 m,  b. 25 Nov 2001 @ Uznach
Elmin Rastoder,               D,  1.91 m,  b. 7 Oct 2001 @ Wetzikon
Johan Kury,                   F,  1.76 m,  b. 7 Oct 2001 @ La Chaux-de-Fonds
Randy Schneider,              M,  1.70 m,  b. 27 Aug 2001 @ Schaffhausen
Lewin Blum,                   D,  1.81 m,  b. 27 Jul 2001 @ Rothrist
Adrian Durrer,                M,  1.88 m,  b. 13 Jul 2001 @ Basel
Bledian Krasniqi,             M,  1.73 m,  b. 17 Jun 2001 @ Zürich
Benjamin Kabeya,              D,  1.87 m,  b. 16 Jun 2001 @ Bern
Lirik Vishi,                  M,  1.80 m,  b. 13 Jun 2001 @ Langenthal
David Mistrafović,            M,  1.86 m,  b. 25 May 2001 @ Lucerne
Aris Sörensen,                D,  1.91 m,  b. 16 May 2001 @ Giubiasco
Nicolas Vouilloz,             D,  1.84 m,  b. 11 May 2001 @ Chêne-Bougeries
Darian Males,                 F,  1.85 m,  b. 3 May 2001 @ Lucerne
Nils de Mol,                  G,  1.83 m,  b. 3 May 2001 @ Muttenz
Michael Heule,                D,  1.72 m,  b. 27 Apr 2001 @ Altstätten
Adrian Gantenbein,            D,  1.83 m,  b. 18 Apr 2001 @ Winterthur
Simon Sohm,                   M,  1.88 m,  b. 11 Apr 2001 @ Zürich
Julian von Moos,              F,  1.79 m,  b. 1 Apr 2001 @ Salmsach
Samuel Ballet,                F,  1.80 m,  b. 12 Mar 2001 @ Bern
Anel Husić,                   D,  1.86 m,  b. 1 Mar 2001 @ Yverdon-les-Bains
Felix Mambimbi,               M,  1.71 m,  b. 18 Jan 2001 @ Fribourg
Christian Witzig,             M,  1.78 m,  b. 9 Jan 2001 @ Münsterlingen

Zeki Amdouni,                 F,  1.85 m,  b. 4 Dec 2000 @ Geneva
Justin Hammel,                G,  1.85 m,  b. 2 Dec 2000 @ Basel
Dan Ndoye,                    F,  1.84 m,  b. 25 Oct 2000 @ Nyon
Marco Burch,                  D,  1.83 m,  b. 19 Oct 2000 @ Sarnen
Stephan Seiler,               M,  1.74 m,  b. 16 Sep 2000 @ Fortaleza
Gabriel Barès,                M,  1.87 m,  b. 29 Aug 2000 @ Lausanne
Matteo Di Giusto,             M,  1.68 m,  b. 18 Aug 2000 @ Wetzikon
Alexis Antunes,               M,  1.81 m,  b. 31 Jul 2000 @ Geneva
Christopher Lungoyi,          F,  1.82 m,  b. 4 Jul 2000 @ Kinshasa
Kastriot Imeri,               M,  1.73 m,  b. 27 Jun 2000 @ Geneva
Noah Okafor,                  F,  1.85 m,  b. 24 May 2000 @ Binningen
Stijn Keller,                 G,  1.95 m,  b. 10 Apr 2000 @ Blaricum
Nicky Beloko,                 M,  1.82 m,  b. 16 Feb 2000 @ Ebolowa
Jozef Pukaj,                  G,  1.91 m,  b. 13 Feb 2000 @ Riehen
Nishan Burkart,               F,  1.74 m,  b. 31 Jan 2000 @ Aarau
Filip Stojiljković,           F,  1.85 m,  b. 4 Jan 2000 @ Zollikon

Mirco Mazzeo,                 G,  1.91 m,  b. 15 Dec 1999 @ Morges
Isaac Schmidt,                D,  1.72 m,  b. 7 Dec 1999 @ Lausanne
