=================================
=  Senegal

Bamba Dieng,                  F,  1.78 m,  b. 23 Mar 2000 @ Diourbel
Moustapha Mbow,               D,  1.92 m,  b. 8 Mar 2000 @ Dakar
Iliman Ndiaye,                M,  1.80 m,  b. 6 Mar 2000 @ Rouen
Cheikh Niasse,                M,  1.88 m,  b. 19 Jan 2000 @ Gossas
Pape Ndiaga Yade,             F,  1.85 m,  b. 5 Jan 2000 @ Saint-Louis (SEN)
Mamadou Diop,                 G,  - ,      b. 3 Jan 2000 @ Guédiawaye
Aboubacar Lô,                 D,  1.83 m,  b. 2 Jan 2000 @ Dakar
Amadou Dia Ndiaye,            F,  1.86 m,  b. 2 Jan 2000 @ Bambey

Moussa Djitté,                F,  1.80 m,  b. 4 Oct 1999 @ Diattouma
Amadou Ciss,                  M,  1.86 m,  b. 7 Sep 1999 @ Guédiawaye
El Hadji Gueye,               D,  1.89 m,  b. 20 Aug 1999
Ismail Jakobs,                D,  1.83 m,  b. 17 Aug 1999 @ Cologne
El Hadji Ndiaye,              F,  1.85 m,  b. 12 Aug 1999 @ Niary Tally
Dialy N'Diaye,                G,  1.93 m,  b. 4 Jul 1999
Amadou Sagna,                 M|F,1.73 m,  b. 10 Jun 1999 @ Dakar
Ousseynou Diagne,             M,  1.90 m,  b. 5 Jun 1999 @ Dakar
Philippe Paulin Keny,         F,  1.86 m,  b. 18 May 1999 @ Tivaouane
Souleymane Aw,                D,  1.73 m,  b. 5 Apr 1999
Ibrahima Niane,               F,  1.87 m,  b. 11 Mar 1999 @ M'Bour
Cheikh Tidiane Sabaly,        M,  1.68 m,  b. 4 Mar 1999 @ Kolda
Mamadou Coulibaly,            M,  1.83 m,  b. 2 Mar 1999 @ Thiès
Krépin Diatta,                M,  1.75 m,  b. 25 Feb 1999 @ Dakar
Pape Gueye,                   M|F,1.87 m,  b. 24 Jan 1999 @ Montreuil
Olivier Boissy,               F,  1.91 m,  b. 22 Jan 1999 @ Dakar
Djibril Diop,                 D,  1.88 m,  b. 6 Jan 1999 @ Thiès
Souleymane Cissé,             D,  1.90 m,  b. 1 Jan 1999

Abdou Diakhaté,               M,  1.79 m,  b. 31 Dec 1998 @ Dakar
Franck Kanouté,               M,  1.86 m,  b. 13 Dec 1998 @ Bignona
Bouly Junior Sambou,          F,  1.83 m,  b. 1 Dec 1998 @ Bignona
Ousseynou Ndiaye,             M,  1.85 m,  b. 24 Nov 1998 @ Thiaroye
Mendy Mamadou,                F,  1.85 m,  b. 4 Oct 1998
Moussa Wagué,                 D,  1.77 m,  b. 4 Oct 1998 @ Bignona
Abdallah Gning,               F,  1.84 m,  b. 29 Sep 1998
Ibrahima Ndiaye,              M,  1.76 m,  b. 6 Jul 1998 @ Saint Louis
Momo Mbaye,                   D,  1.90 m,  b. 28 Jun 1998 @ Dakara
Thierno Thioub,               F,  1.94 m,  b. 1 Jun 1998 @ Tivaouane
Lamine Gueye,                 F,  1.78 m,  b. 13 Mar 1998 @ M'Bour
Demba Thiam,                  G,  2.02 m,  b. 9 Mar 1998 @ Dakar
Ismaïla Sarr,                 M|F,1.78 m,  b. 25 Feb 1998 @ Saint-Louis
Youssouph Cheikh Sylla,       F,  1.97 m,  b. 20 Feb 1998 @ Mbacké
Matar Dieye,                  F,  1.91 m,  b. 10 Jan 1998 @ Mbédiène

Mamadou Diarra,               D,  1.84 m,  b. 20 Dec 1997 @ Dakar
Makhtar Gueye,                F,  1.95 m,  b. 4 Dec 1997 @ Dakar
Alioune Ndour,                M|F,1.83 m,  b. 21 Oct 1997 @ Dakar
Mouhamed Mbaye,               G,  1.93 m,  b. 13 Oct 1997 @ Bargny
Aliou Badji,                  F,  1.89 m,  b. 10 Oct 1997 @ Ziguinchor
Mor Talla Nguer,              M,  1.76 m,  b. 9 Oct 1997 @ Dakar
Youssoupha Ndiaye,            D,  1.85 m,  b. 7 Oct 1997 @ Dakar
Assane Dioussé,               M,  1.75 m,  b. 20 Sep 1997 @ Dakar
Boubacar Traoré,              F,  1.85 m,  b. 26 Jul 1997
Pape Meissa Ba,               F,  1.87 m,  b. 4 Jul 1997 @ Guinaw Rails
Mame Mor Ndiaye,              F,  1.88 m,  b. 23 May 1997 @ Thiès
Joel Baraye,                  D,  1.82 m,  b. 5 Jan 1997 @ Dakar
Mouhamadou Sarr,              G,  1.90 m,  b. 5 Jan 1997 @ Kaolack
Fodé Ballo-Touré,             D,  1.82 m,  b. 3 Jan 1997 @ Conflans-Sainte-Honorine

Abdourahmane Ndiaye,          M,  1.89 m,  b. 31 Dec 1996 @ Dakar
Mamadou Loum,                 M,  1.88 m,  b. 30 Dec 1996 @ Dakar
Moussa Koné,                  F,  1.75 m,  b. 30 Dec 1996 @ Dakar
Pape Ousmane Sakho,           F,  1.73 m,  b. 21 Dec 1996 @ Rufisque
Alassane Ndao,                M,  1.76 m,  b. 20 Dec 1996 @ Dakar
Boulaye Dia,                  F,  1.80 m,  b. 16 Nov 1996 @ Oyonnax
Modou N'Diaye,                M,  1.84 m,  b. 29 Oct 1996 @ Kaolack
Amath Ndiaye,                 F,  1.73 m,  b. 16 Jul 1996 @ Dakar
Sidy Sarr,                    M,  1.96 m,  b. 5 Jun 1996 @ M'Bour
Abdou Diallo,                 D,  1.83 m,  b. 4 May 1996 @ Tours
Moussa Niakhaté,              D,  1.75 m,  b. 8 Mar 1996 @ Roubaix
Moustapha Seck,               D,  1.80 m,  b. 23 Feb 1996 @ Dakar
Cherif Ndiaye,                F,  1.88 m,  b. 23 Jan 1996 @ Dakar
Mamadou Tounkara,             F,  1.86 m,  b. 19 Jan 1996 @ Blanes
Serigne Mor Mbaye,            G,  1.90 m,  b. 3 Jan 1996 @ Bargny

Joher Khadim Rassoul,         D,  1.87 m,  b. 31 Dec 1995 @ Dakar
Daouda Gueye,                 F,  1.90 m,  b. 22 Dec 1995 @ Dakar
Babacar Niasse,               G,  1.90 m,  b. 20 Dec 1995 @ Dakar
Elhadj Dabo,                  D,  1.81 m,  b. 20 Dec 1995 @ Thiès
Seydou Sy,                    G,  1.92 m,  b. 12 Dec 1995 @ Dakar
Racine Coly,                  D,  1.85 m,  b. 8 Dec 1995 @ Dakar
