=================================
=  Kosovo

Lorent Talla,                 M,  - ,      b. 1 Jan 2005
Valon Berisha,                M,  1.75 m,  b. 7 Feb 1993 @ Malmö

Benjamin Kololli,             M,  1.80 m,  b. 15 May 1992 @ Aigle
Herolind Shala,               M,  1.78 m,  b. 1 Feb 1992 @ Porsgrunn

Flamur Kastrati,              F,  1.85 m,  b. 14 Nov 1991 @ Oslo
Bernard Berisha,              M,  1.69 m,  b. 24 Oct 1991 @ Peć
Samir Ramizi,                 M,  1.82 m,  b. 24 Jul 1991 @ Skenderaj

Atdhe Nuhiu,                  F,  1.97 m,  b. 29 Jul 1989 @ Priština

Samir Ujkani,                 G,  1.86 m,  b. 5 Jul 1988 @ Resnik
