=================================
=  Australia

Jacob Italiano,               M,  1.77 m,  b. 30 Jul 2001 @ Perth
Alou Kuol,                    F,  1.77 m,  b. 5 Jul 2001 @ Khartoum
Hosine Bility,                D,  - ,      b. 10 May 2001
Calem Nieuwenhof,             M,  1.81 m,  b. 17 Feb 2001 @ Sydney
Caleb Watts,                  M,  - ,      b. 16 Jan 2001

Joel King,                    D,  1.79 m,  b. 30 Oct 2000 @ Wollongong
Samuel Silvera,               F,  1.70 m,  b. 25 Oct 2000 @ Lambeth
Jacob Chapman,                G,  1.85 m,  b. 22 Oct 2000 @ Wahroonga
Lewis Miller,                 D,  1.87 m,  b. 24 Aug 2000 @ Sydney
Tyrese Francois,              D|M,1.67 m,  b. 16 Jul 2000 @ Campbell Town
Joe Gauci,                    G,  1.93 m,  b. 4 Jul 2000 @ Adelaide
Dylan Ryan,                   D,  1.84 m,  b. 10 Jun 2000 @ Wollongong
Zach Duncan,                  M,  1.83 m,  b. 31 May 2000 @ Marayong
Al Hassan Touré,              F,  1.85 m,  b. 30 May 2000 @ Guéckédou

Conor Metcalfe,               M,  1.78 m,  b. 5 Nov 1999 @ Newcastle (AUS)
Jay Rich-Baghuelou,           D,  1.96 m,  b. 22 Oct 1999 @ Sydney
Con Ouzounidis,               D,  1.83 m,  b. 8 Oct 1999 @ Camperdown
John Iredale,                 F,  1.83 m,  b. 1 Aug 1999 @ Sydney
Ashley Maynard-Brewer,        G,  1.87 m,  b. 25 Jun 1999 @ Joondalup
Nathaniel Atkinson,           D,  1.81 m,  b. 13 Jun 1999 @ Launceston
Ben Folami,                   F,  1.70 m,  b. 8 Jun 1999 @ Sydney
Denis Genreau,                M,  1.70 m,  b. 21 May 1999 @ Paris
Marc Tokich,                  M,  1.87 m,  b. 15 May 1999 @ Canberra
Apostolos Stamatelopoulos,    F,  1.84 m,  b. 9 Apr 1999 @ Adelaide
Reagan Ogle,                  D,  1.73 m,  b. 29 Mar 1999 @ Wollongong
Kusini Yengi,                 F,  1.76 m,  b. 15 Jan 1999 @ Adelaide
Tete Yengi,                   M,  1.87 m,  b. 15 Jan 1999 @ Adelaide
Daniel Arzani,                M,  1.75 m,  b. 4 Jan 1999 @ Sydney

Liam McGing,                  D,  1.79 m,  b. 11 Dec 1998 @ Sydney
Riley McGree,                 M,  1.78 m,  b. 2 Nov 1998 @ Gawler
Harry Souttar,                D,  1.98 m,  b. 22 Oct 1998 @ Aberdeen
Panagiotis Armenakas,         M,  1.78 m,  b. 5 Aug 1998 @ Newport Beach
