=================================
=  Finland

Joel Pohjanpalo,              F,  1.84 m,  b. 13 Sep 1994 @ Helsinki
Jere Uronen,                  D,  1.77 m,  b. 13 Jul 1994 @ Turku
Sauli Väisänen,               D,  1.90 m,  b. 5 Jun 1994 @ Helsinki

Thomas Lam,                   D,  1.88 m,  b. 18 Dec 1993 @ Amsterdam
Robin Lod,                    M,  1.80 m,  b. 17 Apr 1993 @ Helsinki
Jesse Joronen,                G,  1.97 m,  b. 21 Mar 1993 @ Helsinki
Nikolai Alho,                 D,  1.72 m,  b. 12 Mar 1993 @ Helsinki

Juha Pirinen,                 D,  1.80 m,  b. 22 Oct 1991 @ Valkeakoski
Roope Riski,                  F,  1.80 m,  b. 16 Aug 1991 @ Turku
Rasmus Schüller,              M,  1.77 m,  b. 18 Jun 1991 @ Espoo

Petteri Forsell,              M,  1.69 m,  b. 16 Oct 1990 @ Kokkola
Joni Kauko,                   M,  1.85 m,  b. 12 Jul 1990 @ Turku
Teemu Pukki,                  F,  1.76 m,  b. 29 Mar 1990 @ Kotka

Lukáš Hrádecký,               G,  1.87 m,  b. 24 Nov 1989 @ Bratislava
Albin Granlund,               D,  1.78 m,  b. 1 Sep 1989 @ Parainen
Juhani Ojala,                 D,  1.91 m,  b. 19 Jun 1989 @ Vantaa

Jukka Raitala,                D,  1.80 m,  b. 15 Sep 1988 @ Kerava
Paulus Arajuuri,              D,  1.92 m,  b. 15 Jun 1988 @ Helsinki
Joona Toivio,                 D,  1.86 m,  b. 10 Mar 1988 @ Sipoo

Roman Eremenko,               M,  1.80 m,  b. 19 Mar 1987 @ Moscow
Anssi Jaakkola,               G,  1.93 m,  b. 13 Mar 1987 @ Kemi
Tim Sparv,                    M,  1.94 m,  b. 20 Feb 1987 @ Vaasa

Perparim Hetemaj,             M,  1.75 m,  b. 12 Dec 1986 @ Skenderaj
Boris Rotenberg,              D,  1.89 m,  b. 19 May 1986 @ St. Petersburg

Niklas Moisander,             D,  1.83 m,  b. 29 Sep 1985 @ Turku
Niki Mäenpää,                 G,  1.92 m,  b. 23 Jan 1985 @ Espoo

Jussi Jääskeläinen,           G,  1.91 m,  b. 19 Apr 1975 @ Mikkeli
