=================================
=  Austria

Flavius Daniliuc,             D,  1.86 m,  b. 27 Apr 2001 @ Vienna
Tobias Koch,                  M,  1.80 m,  b. 6 Apr 2001
Felix Strauss,                D,  1.86 m,  b. 26 Mar 2001 @ Salzburg
David Affengruber,            D,  1.91 m,  b. 19 Mar 2001 @ Scheibbs
Niklas Hedl,                  G,  1.88 m,  b. 17 Mar 2001 @ Vienna
Amir Abdijanović,             F,  1.80 m,  b. 3 Mar 2001 @ Dornbirn
Franz Stolz,                  G,  1.93 m,  b. 14 Feb 2001 @ Bruck an der Mur
Samuel Stückler,              M,  1.78 m,  b. 14 Feb 2001
Matthäus Taferner,            M,  1.70 m,  b. 30 Jan 2001 @ Klagenfurt
Matthias Seidl,               M,  1.75 m,  b. 24 Jan 2001
Stefan Škrbo,                 M,  1.76 m,  b. 23 Jan 2001
Cem Üstündag,                 M,  1.72 m,  b. 20 Jan 2001 @ Schwaz
Sebastian Aigner,             M,  1.80 m,  b. 3 Jan 2001

Matteo Meisl,                 D,  1.83 m,  b. 27 Dec 2000 @ Salzburg
Lukas Gütlbauer,              G,  1.91 m,  b. 6 Dec 2000 @ Kirchdorf an der Krems
Felix Bacher,                 D,  1.90 m,  b. 25 Oct 2000 @ Lienz
Thomas Sabitzer,              F,  1.76 m,  b. 12 Oct 2000
Lukas Fadinger,               M,  1.72 m,  b. 27 Sep 2000 @ Weiz
Muhammed Cham,                M,  1.80 m,  b. 26 Sep 2000 @ Vienna
Marcel Schantl,               D,  1.76 m,  b. 17 Aug 2000
Jonas Auer,                   D,  1.79 m,  b. 5 Aug 2000 @ Ruprechtshofen
Aleksandar Jukić,             M,  1.83 m,  b. 26 Jul 2000 @ Vienna
Christoph Klarer,             D,  1.91 m,  b. 14 Jun 2000 @ Böheimkirchen
Oliver Strunz,                F,  1.85 m,  b. 14 Jun 2000
Tobias Lawal,                 G,  1.95 m,  b. 7 Jun 2000 @ Linz
Michael Steinwender,          D,  1.90 m,  b. 4 May 2000 @ Eisenstadt
Lukas Sulzbacher,             D,  1.71 m,  b. 6 Apr 2000 @ Tulln an der Donau
Tobias Anselm,                F,  1.86 m,  b. 24 Feb 2000
Niklas Geyrhofer,             D,  1.88 m,  b. 11 Feb 2000
Vesel Demaku,                 M,  1.79 m,  b. 5 Feb 2000 @ Altenmarkt an der Triesting
Romano Schmid,                M,  1.74 m,  b. 27 Jan 2000 @ Graz
Johannes Naschberger,         M,  1.73 m,  b. 25 Jan 2000 @ Lienz

Julian Gölles,                D,  1.89 m,  b. 22 Sep 1999
Manuel Pfeifer,               D,  1.85 m,  b. 10 Sep 1999 @ Hartberg
Christoph Urdl,               F,  1.81 m,  b. 17 Aug 1999
Christoph Baumgartner,        M,  1.78 m,  b. 1 Aug 1999 @ Horn
Alexander Eckmayr,            G,  - ,      b. 6 Jul 1999 @ Munich
Dominik Fitz,                 F,  1.75 m,  b. 16 Jun 1999 @ Vienna
Alexandar Borković,           D,  1.84 m,  b. 11 Jun 1999 @ Vienna
Darijo Grujčić,               D,  1.88 m,  b. 19 May 1999 @ Lustenau
Nemanja Čelić,                M,  1.84 m,  b. 26 Apr 1999 @ Linz
Bernhard Unger,               G,  1.90 m,  b. 23 Apr 1999 @ Vienna
Hannes Wolf,                  M,  1.79 m,  b. 16 Apr 1999 @ Graz
Luca Meisl,                   D,  1.84 m,  b. 4 Mar 1999 @ Salzburg
Leonardo Lukačević,           D,  1.79 m,  b. 21 Jan 1999
Valentino Müller,             M,  1.75 m,  b. 19 Jan 1999 @ Lustenau
Anthony Schmid,               F,  1.83 m,  b. 18 Jan 1999 @ Strasbourg

Alexander Ranacher,           M,  1.75 m,  b. 20 Nov 1998 @ Lienz
David Schnegg,                D,  1.85 m,  b. 29 Sep 1998 @ Vienna
Kevin Danso,                  D,  1.90 m,  b. 19 Sep 1998 @ Voitsberg
Fabian Ehmann,                G,  1.82 m,  b. 28 Aug 1998 @ Graz
Marco Grüll,                  F,  1.82 m,  b. 6 Jul 1998 @ Schwarzach im Pongau
Ammar Helac,                  G,  1.90 m,  b. 13 Jun 1998 @ Linz
Marko Raguž,                  F,  1.86 m,  b. 10 Jun 1998 @ Grieskirchen
Johannes Handl,               D,  1.96 m,  b. 7 May 1998 @ Graz
Sandi Lovrič,                 M,  1.80 m,  b. 28 Mar 1998 @ Lienz
Marco Friedl,                 D,  1.87 m,  b. 16 Mar 1998 @ Kirchbichl
Max Wöber,                    D,  1.89 m,  b. 4 Feb 1998 @ Vienna
Alexander Schmidt,            F,  1.93 m,  b. 19 Jan 1998 @ Vienna
Denis Tomić,                  F,  1.84 m,  b. 17 Jan 1998
Dominik Reiter,               M,  1.73 m,  b. 4 Jan 1998 @ Grieskirchen

Lukas Fridrikas,              F,  1.81 m,  b. 30 Dec 1997
Florian Jaritz,               M,  1.80 m,  b. 18 Oct 1997 @ Klagenfurt
Dejan Ljubičić,               M,  1.86 m,  b. 8 Oct 1997 @ Vienna
Xaver Schlager,               M,  1.74 m,  b. 28 Sep 1997 @ Linz
Alem Pašić,                   D,  1.94 m,  b. 23 Aug 1997 @ Steyr
Maximilian Entrup,            F,  1.86 m,  b. 25 Jul 1997
Constantin Reiner,            D,  1.97 m,  b. 11 Jul 1997 @ Oberndorf bei Salzburg
Manuel Maranda,               D,  1.88 m,  b. 9 Jul 1997
Saša Kalajdžić,               F,  2.00 m,  b. 7 Jul 1997 @ Vienna
Tin Plavotić,                 D,  1.97 m,  b. 30 Jun 1997 @ Vienna
Emir Karic,                   D,  1.84 m,  b. 9 Jun 1997 @ Linz
Dominik Prokop,               M,  1.71 m,  b. 2 Jun 1997 @ Vienna
Konrad Laimer,                M,  1.79 m,  b. 27 May 1997 @ Salzburg
Patrick Hasenhüttl,           F,  1.90 m,  b. 20 May 1997 @ Bonheiden
Tobias Schützenauer,          G,  1.82 m,  b. 19 May 1997 @ Graz
Marco Krainz,                 M,  1.79 m,  b. 17 May 1997 @ Vienna
Stefan Posch,                 D,  1.88 m,  b. 14 May 1997 @ Judenburg
Julius Ertlthaler,            M,  1.69 m,  b. 25 Apr 1997
Sandro Ingolitsch,            D,  1.79 m,  b. 18 Apr 1997 @ Schwarzach im Pongau
Raffael Behounek,             D,  1.87 m,  b. 16 Apr 1997 @ Vienna
Mirko Kos,                    G,  1.83 m,  b. 12 Apr 1997 @ Mürzzuschlag
Jürgen Heil,                  M,  1.76 m,  b. 4 Apr 1997
Simon Pirkl,                  D,  1.76 m,  b. 3 Apr 1997 @ Innsbruck
Christopher Cvetko,           M,  1.82 m,  b. 2 Apr 1997 @ Klagenfurt
Paul Gartler,                 G,  1.85 m,  b. 10 Mar 1997 @ Gleisdorf
Nicolas Schmid,               G,  1.95 m,  b. 22 Feb 1997 @ Linz
David Gugganig,               D,  1.90 m,  b. 10 Feb 1997 @ Spittal an der Drau
Fabian Gmeiner,               D,  1.77 m,  b. 27 Jan 1997 @ Dornbirn

Mathias Honsak,               M,  1.88 m,  b. 20 Dec 1996 @ Vienna
Felix Gschossmann,            G,  1.83 m,  b. 3 Oct 1996 @ Amstetten
Nosa Edokpolor,               D,  1.78 m,  b. 22 Sep 1996 @ Benin City
Patrick Greil,                M,  1.84 m,  b. 8 Sep 1996 @ Salzburg
Manprit Sarkaria,             F,  1.79 m,  b. 26 Aug 1996 @ Vienna
Sascha Horvath,               M,  1.65 m,  b. 22 Aug 1996 @ Vienna
Adrian Grbić,                 F,  1.88 m,  b. 4 Aug 1996 @ Vienna
Dominik Baumgartner,          D,  1.87 m,  b. 20 Jul 1996 @ Horn
Philipp Lienhart,             D,  1.85 m,  b. 11 Jul 1996 @ Lilienfeld
Ivan Ljubić,                  M,  1.84 m,  b. 7 Jul 1996
Florian Rieder,               M,  1.70 m,  b. 16 May 1996
Lukas Tursch,                 M,  1.86 m,  b. 29 Mar 1996 @ Ternberg
Valentino Lazaro,             M,  1.80 m,  b. 24 Mar 1996 @ Graz
Husein Balić,                 F,  1.83 m,  b. 15 Feb 1996 @ Linz
Alexander Schlager,           G,  1.84 m,  b. 1 Feb 1996 @ Salzburg

Raphael Sallinger,            G,  1.97 m,  b. 8 Dec 1995 @ Klagenfurt
Florian Flecker,              M,  1.73 m,  b. 29 Oct 1995 @ Voitsberg
Lukas Wedl,                   G,  1.86 m,  b. 19 Oct 1995 @ Amstetten
Ante Bajić,                   F,  1.83 m,  b. 22 Aug 1995 @ Braunau
Lukas Grgić,                  M,  1.83 m,  b. 17 Aug 1995 @ Wels
Florian Grillitsch,           M,  1.87 m,  b. 7 Aug 1995 @ Neunkirchen
Manfred Fischer,              M,  1.79 m,  b. 6 Aug 1995
Jonathan Scherzer,            D,  1.85 m,  b. 22 Jul 1995
Andreas Gruber,               F,  1.74 m,  b. 29 Jun 1995 @ Mürzzuschlag
