=================================
=  Italy

Giacomo Drago,                G,  1.94 m,  b. 9 Mar 2001 @ Genoa
Hamza Haoudi,                 F,  1.76 m,  b. 9 Mar 2001 @ Lucca
Pietro Rovaglia,              F,  1.85 m,  b. 26 Feb 2001 @ Verona
Fabio Ponsi,                  D,  1.86 m,  b. 12 Feb 2001 @ Pietrasanta
Nicolò Fagioli,               M,  1.78 m,  b. 12 Feb 2001 @ Piacenza
Laurens Serpe,                D,  1.93 m,  b. 7 Feb 2001 @ Fivizzano
Andrea Carboni,               D,  1.85 m,  b. 4 Feb 2001 @ Sorgono
Patrizio Masini,              M,  1.80 m,  b. 27 Jan 2001 @ La Spezia
Roberto Piccoli,              F,  1.90 m,  b. 27 Jan 2001 @ Bergamo
Alessandro Cortinovis,        F,  1.80 m,  b. 25 Jan 2001 @ Bergamo
Luca Moro,                    F,  1.80 m,  b. 25 Jan 2001 @ Monselice
Ndir Mame Ass,                D,  1.91 m,  b. 24 Jan 2001 @ Rufisque
Francesco Donati,             D,  1.82 m,  b. 20 Jan 2001 @ Livorno
Federico Bergonzi,            D,  1.74 m,  b. 12 Jan 2001 @ Treviglio
Stefano Girelli,              M,  1.85 m,  b. 9 Jan 2001 @ Brescia

Nicolò Cambiaghi,             F,  1.73 m,  b. 28 Dec 2000 @ Monza
Nicolas Galazzi,              F,  1.82 m,  b. 18 Dec 2000 @ Pavia
Gabriele Capanni,             F,  1.76 m,  b. 2 Dec 2000 @ Città di Castello
Fabiano Parisi,               D,  1.78 m,  b. 9 Nov 2000 @ Solofra
Jacopo Da Riva,               M,  1.84 m,  b. 27 Oct 2000 @ Montebelluna
Alessandro Lai,               G,  1.86 m,  b. 23 Oct 2000 @ Cagliari
Salvatore Esposito,           M,  1.78 m,  b. 7 Oct 2000 @ Castellammare di Stabia
Samuele Mulattieri,           F,  1.83 m,  b. 7 Oct 2000 @ La Spezia
Alessandro Zanoli,            D,  1.88 m,  b. 3 Oct 2000 @ Carpi
Matteo Stoppa,                F,  1.75 m,  b. 27 Sep 2000 @ Biella
Giacomo Manzari,              F,  1.78 m,  b. 21 Sep 2000 @ Bari
Simone Canestrelli,           D,  1.92 m,  b. 11 Sep 2000 @ Montepulciano
Lorenzo Lucca,                F,  2.01 m,  b. 10 Sep 2000 @ Moncalieri
Mattia Viviani,               M,  1.77 m,  b. 4 Sep 2000 @ Brescia
Filippo Vandelli,             G,  1.90 m,  b. 22 Aug 2000 @ Modena
Matteo Campani,               G,  1.89 m,  b. 19 Aug 2000 @ Florence
Vincenzo Millico,             F,  1.73 m,  b. 12 Aug 2000 @ Turin
Alessandro Arena,             M,  1.71 m,  b. 3 Aug 2000 @ Marina di Ragusa
Mattia Zennaro,               M,  1.84 m,  b. 3 Aug 2000 @ Venice
Nunzio Lella,                 D,  1.88 m,  b. 28 Jul 2000 @ Santeramo in Colle
Mattia Chiesa,                G,  1.90 m,  b. 16 Jul 2000 @ Rovereto
Luca Gemello,                 G,  1.90 m,  b. 3 Jul 2000 @ Savigliano
Marco Carnesecchi,            G,  1.91 m,  b. 1 Jul 2000 @ Rimini
Gianluca Saro,                G,  1.87 m,  b. 25 Jun 2000 @ San Daniele del Friuli
Hans Nicolussi Caviglia,      M,  1.81 m,  b. 18 Jun 2000 @ Aosta
Karim Zedadka,                D,  1.82 m,  b. 9 Jun 2000 @ Pertuis
Leonardo Benedetti,           M,  1.80 m,  b. 6 Jun 2000 @ La Spezia
Manolo Portanova,             M,  1.83 m,  b. 2 Jun 2000 @ Naples
Joshua Tenkorang,             M,  1.84 m,  b. 26 May 2000 @ Novara
Marco Pompetti,               M,  1.82 m,  b. 22 May 2000 @ Pescara
Raoul Bellanova,              D,  1.88 m,  b. 16 May 2000 @ Rho
Sandro Tonali,                M,  1.81 m,  b. 8 May 2000 @ Lodi
Gianluca Gaetano,             F,  1.81 m,  b. 5 May 2000 @ Cimitile
Michele Avella,               G,  1.86 m,  b. 1 May 2000 @ Naples
Antonio Candela,              D,  1.82 m,  b. 27 Apr 2000 @ La Spezia
Nicola Rauti,                 F,  1.77 m,  b. 17 Apr 2000 @ Legnano
Fabrizio Caligara,            M,  1.80 m,  b. 12 Apr 2000 @ Borgomanero
Gabriele Ferrarini,           D,  1.79 m,  b. 9 Apr 2000 @ La Spezia
Davide Bettella,              D,  1.85 m,  b. 7 Apr 2000 @ Padua
Davide Barosi,                G,  1.85 m,  b. 30 Mar 2000 @ Asola
Alessando Pilati,             D,  1.93 m,  b. 26 Mar 2000 @ Mantova
Giuseppe Aurelio,             D,  1.85 m,  b. 22 Mar 2000 @ Bracciano
Niccolò Corrado,              D,  1.79 m,  b. 19 Mar 2000 @ Florence
Gennaro Borrelli,             F,  1.94 m,  b. 10 Mar 2000 @ Campobasso
Moise Kean,                   F,  1.83 m,  b. 28 Feb 2000 @ Vercelli
Gregorio Morachioli,          F,  1.72 m,  b. 27 Feb 2000 @ La Spezia
Andrea Ghion,                 M,  1.74 m,  b. 23 Feb 2000 @ Mantova
Andrea Cambiaso,              D,  1.81 m,  b. 20 Feb 2000 @ Genoa
Tommaso Fumagalli,            F,  1.85 m,  b. 20 Feb 2000 @ Bellinzago
Giacomo Quagliata,            D,  1.75 m,  b. 19 Feb 2000 @ Palermo
Giacomo Raspadori,            F,  1.72 m,  b. 18 Feb 2000 @ Bentivoglio
Matteo Lovato,                D,  1.88 m,  b. 14 Feb 2000 @ Monselice
Nicolò Buso,                  F,  1.77 m,  b. 1 Feb 2000 @ Treviso
Flavio Bianchi,               F,  1.78 m,  b. 24 Jan 2000 @ Asti
Marco Brescianini,            M,  1.88 m,  b. 20 Jan 2000 @ Calcinate
Tommaso Cassandro,            D,  1.85 m,  b. 9 Jan 2000 @ Dolo
Christian Travaglini,         D,  1.84 m,  b. 7 Jan 2000 @ Milan
Antonino Gallo,               D,  1.83 m,  b. 5 Jan 2000 @ Palermo

Gabriele Zappa,               D,  1.83 m,  b. 22 Dec 1999 @ Monza
Federico Ravaglia,            G,  1.96 m,  b. 11 Nov 1999 @ Bologna
Enrico Delprato,              D,  1.83 m,  b. 10 Nov 1999 @ Grassobbio
Michele Collocolo,            M,  1.88 m,  b. 8 Nov 1999 @ Taranto
Matteo Gabbia,                D,  1.85 m,  b. 21 Oct 1999 @ Busto Arsizio
Andrea Tessiore,              M,  1.77 m,  b. 1 Oct 1999 @ Pietra Ligure
Davide Frattesi,              M,  1.78 m,  b. 22 Sep 1999 @ Rome
Simone Santoro,               M,  1.81 m,  b. 20 Sep 1999 @ Messina
Simone Davi,                  D,  1.78 m,  b. 16 Sep 1999 @ Bolzano
Tommaso Vitali,               G,  1.86 m,  b. 26 Aug 1999 @ Terni
Vincenzo Garofalo,            M,  1.84 m,  b. 8 Aug 1999 @ Avellino
Frank Tsadjout,               F,  1.90 m,  b. 28 Jul 1999 @ Perugia
Samuele Birindelli,           D,  1.75 m,  b. 19 Jul 1999 @ Pisa
Alessandro Di Pardo,          M,  1.82 m,  b. 18 Jul 1999 @ Rimini
Tommaso Pobega,               M,  1.88 m,  b. 15 Jul 1999 @ Trieste
Enrico Brignola,              F,  1.68 m,  b. 8 Jul 1999 @ Caserta
Nicolò Zaniolo,               M,  1.90 m,  b. 2 Jul 1999 @ Massa
Marco Olivieri,               F,  1.78 m,  b. 30 Jun 1999 @ Fermo
Salvatore Elia,               F,  1.83 m,  b. 30 Jun 1999 @ Prato
Gianluca Frabotta,            D,  1.87 m,  b. 24 Jun 1999 @ Rome
Valerio Mastrantonio,         M,  1.80 m,  b. 22 Jun 1999 @ Rome
Nadir Zortea,                 D,  1.75 m,  b. 19 Jun 1999 @ Feltre
Alessandro Buongiorno,        D,  1.94 m,  b. 6 Jun 1999 @ Turin
Riccardo Sottil,              F,  1.80 m,  b. 3 Jun 1999 @ Turin
Giacomo Satalino,             G,  1.88 m,  b. 20 May 1999 @ Putignaro
Andrea Pinamonti,             F,  1.88 m,  b. 19 May 1999 @ Cles
Andrea Colpani,               M,  1.84 m,  b. 11 May 1999 @ Brescia
Mateo Retegui,                F,  1.86 m,  b. 29 Apr 1999 @ San Fernando
Luca Ranieri,                 D,  1.79 m,  b. 23 Apr 1999 @ La Spezia
Alessandro Bastoni,           D,  1.90 m,  b. 13 Apr 1999 @ Casalmaggiore
Leonardo Loria,               G,  1.95 m,  b. 28 Mar 1999 @ Erice
Alessandro Mallamo,           M,  1.74 m,  b. 22 Mar 1999 @ Vizzolo Pedrabissi
Mirko Antonucci,              M,  1.78 m,  b. 11 Mar 1999 @ Rome
Luca Pellegrini,              D,  1.78 m,  b. 7 Mar 1999 @ Rome
Raffaele Celia,               D,  1.80 m,  b. 4 Mar 1999 @ Catanzaro
Alessio Zerbin,               M,  1.82 m,  b. 3 Mar 1999 @ Novara
Pierre Bolchini,              G,  2.00 m,  b. 27 Feb 1999 @ Novara
Massimo Bertagnoli,           M,  1.85 m,  b. 26 Feb 1999 @ Verona
Andrea Danzi,                 M,  1.75 m,  b. 25 Feb 1999 @ San Martino Buon Albergo
Gianluigi Donnarumma,         G,  1.96 m,  b. 25 Feb 1999 @ Castellammare di Stabia
Matteo Rover,                 F,  1.85 m,  b. 20 Feb 1999 @ Treviso
Filippo Melegoni,             M,  1.86 m,  b. 18 Feb 1999 @ Bergamo
Lorenzo Lonardi,              M,  1.87 m,  b. 10 Feb 1999 @ Verona
Simon Straudi,                D,  1.76 m,  b. 27 Jan 1999 @ Bruneck
Michael Venturi,              D,  1.93 m,  b. 23 Jan 1999 @ Rimini
Alessandro Bianconi,          D,  1.93 m,  b. 20 Jan 1999 @ Bentivoglio
Marco Curto,                  D,  1.93 m,  b. 5 Jan 1999 @ Naples
Michele Cerofolini,           G,  1.88 m,  b. 4 Jan 1999 @ Arezzo
Andrea Errico,                M,  1.78 m,  b. 1 Jan 1999 @ Rome
Gianluca Scamacca,            F,  1.95 m,  b. 1 Jan 1999 @ Rome

Daniel Boloca,                M,  1.88 m,  b. 22 Dec 1998 @ Chieri
Pietro Beruatto,              D,  1.85 m,  b. 21 Dec 1998 @ Trieste
Giuseppe Caso,                F,  1.72 m,  b. 9 Dec 1998 @ Torre Annunziata
Emanuele Valeri,              D,  1.80 m,  b. 7 Dec 1998 @ Rome
Alberto Dossena,              D,  1.90 m,  b. 13 Oct 1998 @ Brescia
Andrea Cisco,                 M,  1.83 m,  b. 8 Oct 1998 @ Padua
Emmanuele Matino,             D,  1.86 m,  b. 7 Oct 1998 @ Naples
Alessandro Vogliacco,         D,  1.86 m,  b. 14 Sep 1998 @ Acquaviva delle Fonti
Youssef Maleh,                M,  1.77 m,  b. 22 Aug 1998 @ Castel San Pietro Terme
Simone Mazzocchi,             F,  1.80 m,  b. 17 Aug 1998 @ Milan
Federico Giraudo,             D,  1.77 m,  b. 11 Aug 1998 @ Cuneo
Giorgio Altare,               D,  1.90 m,  b. 9 Aug 1998 @ Bergamo
Nicholas Pierini,             F,  1.76 m,  b. 6 Aug 1998 @ Parma
Matteo Rossetti,              M,  1.91 m,  b. 23 Jul 1998 @ Saluzzo
Luca Zanimacchia,             F,  1.78 m,  b. 19 Jul 1998 @ Desio
Manuel De Luca,               F,  1.90 m,  b. 17 Jul 1998 @ Bolzano
Federico Gatti,               D,  1.85 m,  b. 24 Jun 1998 @ Rivoli
Andrea Cagnano,               D,  1.82 m,  b. 17 Jun 1998 @ Cantù
Claud Adjapong,               D,  1.80 m,  b. 6 May 1998 @ Modena
Riccardo Marchizza,           D,  1.87 m,  b. 26 Mar 1998 @ Rome
Luca Pandolfi,                F,  1.86 m,  b. 14 Mar 1998 @ Naples
Giulio Maggiore,              M,  1.84 m,  b. 12 Mar 1998 @ Genoa
Filippo Nardi,                M,  1.75 m,  b. 8 Mar 1998 @ Treviso
Mario Ierardi,                D,  1.95 m,  b. 19 Feb 1998 @ Magenta
Nicolò Casale,                D,  1.91 m,  b. 14 Feb 1998 @ Negrar
Alessandro Mattioli,          D,  1.81 m,  b. 13 Feb 1998 @ Reggio Emilia
Michael Folorunsho,           M,  1.80 m,  b. 7 Feb 1998 @ Rome
Giuseppe Cuomo,               D,  1.90 m,  b. 2 Feb 1998 @ Vico Equense
Samuele Damiani,              M,  1.78 m,  b. 30 Jan 1998 @ Poggibonsi
Massimiliano Mangraviti,      D,  1.88 m,  b. 24 Jan 1998 @ Brescia
Manuel Locatelli,             M,  1.80 m,  b. 8 Jan 1998 @ Lecco
Marco Pissardo,               G,  1.84 m,  b. 8 Jan 1998 @ Verbania
Leonardo Marson,              G,  1.85 m,  b. 5 Jan 1998 @ Udine
Patrick Cutrone,              F,  1.83 m,  b. 3 Jan 1998 @ Como

Filippo Sgarbi,               D,  1.91 m,  b. 29 Dec 1997 @ Casciago
Giuseppe Pezzella,            D,  1.87 m,  b. 29 Nov 1997 @ Naples
Federico Dimarco,             D,  1.82 m,  b. 10 Nov 1997 @ Milan
Federico Chiesa,              F,  1.75 m,  b. 25 Oct 1997 @ Genoa
Edoardo Soleri,               F,  1.92 m,  b. 19 Oct 1997 @ Rome
Gianfilippo Felicioli,        D,  1.80 m,  b. 30 Sep 1997 @ San Severino Marche
Alessandro Farroni,           G,  1.86 m,  b. 20 Sep 1997 @ Spoleto
Lorenzo Libutti,              D,  1.80 m,  b. 17 Sep 1997 @ Melfi
Michele Volpe,                F,  1.90 m,  b. 16 Sep 1997 @ Benevento
Giuseppe Carriero,            M,  1.77 m,  b. 4 Sep 1997 @ Desio
Samuele Perisan,              G,  1.93 m,  b. 21 Aug 1997 @ San Vito al Tagliamento
Luca Magnino,                 M,  1.85 m,  b. 13 Aug 1997 @ Pordenone
Giovanni Crociata,            M,  1.74 m,  b. 11 Aug 1997 @ Palermo
Pietro Martino,               D,  1.78 m,  b. 4 Aug 1997 @ Modena
Leonardo Sernicola,           D,  1.88 m,  b. 30 Jul 1997 @ Civita Castellana
Michele Di Gregorio,          G,  1.87 m,  b. 27 Jul 1997 @ Milan
Christian D'Urso,             M,  1.78 m,  b. 26 Jul 1997 @ Rieti
Riccardo Gagno,               G,  1.85 m,  b. 26 Jul 1997 @ Montebelluna
Daniele Sommariva,            G,  1.86 m,  b. 18 Jul 1997 @ Genoa
Francesco Cassata,            M,  1.83 m,  b. 16 Jul 1997 @ Sarzana
Rolando Mandragora,           M,  1.83 m,  b. 29 Jun 1997 @ Naples
Edoardo Duca,                 M,  1.78 m,  b. 30 May 1997 @ Milan
Filippo Romagna,              D,  1.86 m,  b. 26 May 1997 @ Fano
Andrea Vallocchia,            M,  1.78 m,  b. 22 May 1997 @ Rieti
Federico Bonazzoli,           F,  1.82 m,  b. 21 May 1997 @ Manerbio
Andrea Favilli,               F,  1.90 m,  b. 17 May 1997 @ Pisa
Fabio Depaoli,                D,  1.82 m,  b. 24 Apr 1997 @ Riva del Garda
Matteo Cotali,                D,  1.77 m,  b. 22 Apr 1997 @ Brescia
Matteo Pessina,               M,  1.83 m,  b. 21 Apr 1997 @ Monza
Andrea Cistana,               D,  1.85 m,  b. 1 Apr 1997 @ Brescia
Riccardo Gatti,               D,  1.87 m,  b. 30 Mar 1997 @ Lecco
Danilo Quaranta,              D,  1.92 m,  b. 23 Mar 1997 @ Teramo
Alex Meret,                   G,  1.90 m,  b. 22 Mar 1997 @ Udine
Simone Pontisso,              M,  1.84 m,  b. 20 Mar 1997 @ San Daniele del Friuli
Gaetano Castrovilli,          M,  1.79 m,  b. 17 Feb 1997 @ Canosa di Puglia
Jacopo Segre,                 M,  1.80 m,  b. 17 Feb 1997 @ Turin
Emanuele Polverino,           G,  1.82 m,  b. 13 Feb 1997 @ Naples
Lorenzo Carissoni,            D,  1.77 m,  b. 7 Feb 1997 @ San Giovanni Bianco
Nicolò Barella,               M,  1.72 m,  b. 7 Feb 1997 @ Cagliari
Giacomo Calò,                 M,  1.79 m,  b. 5 Feb 1997 @ Trieste
Luca Vido,                    F,  1.82 m,  b. 3 Feb 1997 @ Bassano del Grappa
Paolo Ghiglione,              M,  1.91 m,  b. 2 Feb 1997 @ Voghera
Riccardo Orsolini,            F,  1.83 m,  b. 24 Jan 1997 @ Ascoli Piceno
Alessandro Livieri,           G,  1.85 m,  b. 21 Jan 1997 @ Milan
Emil Audero,                  G,  1.92 m,  b. 18 Jan 1997 @ Mataram
Luca Ravanelli,               D,  1.87 m,  b. 16 Jan 1997 @ Trento
Andrea Meroni,                D,  1.88 m,  b. 9 Jan 1997 @ Monza

Fabio Gerli,                  M,  1.73 m,  b. 23 Dec 1996 @ Rome
Davide Calabria,              D,  1.76 m,  b. 6 Dec 1996 @ Brescia
Enrico Baldini,               F,  1.80 m,  b. 13 Nov 1996 @ Massa
Simone Bastoni,               D,  1.81 m,  b. 5 Nov 1996 @ La Spezia
Francesco Gelli,              M,  1.83 m,  b. 15 Oct 1996 @ Livorno
Filippo Pittarello,           F,  1.92 m,  b. 9 Oct 1996 @ Padua
Guglielmo Vicario,            G,  1.88 m,  b. 7 Oct 1996 @ Udine
Lorenzo Dickmann,             D,  1.77 m,  b. 24 Sep 1996 @ Milan
Federico Baschirotto,         D,  1.84 m,  b. 20 Sep 1996 @ Isola della Scala
Sebastiano Luperto,           D,  1.91 m,  b. 6 Sep 1996 @ Lecce
Giacomo Ricci,                D,  1.84 m,  b. 2 Sep 1996 @ Livorno
Gennaro Tutino,               F,  1.77 m,  b. 20 Aug 1996 @ Naples
Cristian Cauz,                D,  1.88 m,  b. 15 Aug 1996 @ Pordenone
Gabriel Lunetta,              F,  1.86 m,  b. 10 Aug 1996 @ Milan
Giuseppe Sibilli,             F,  1.80 m,  b. 7 Aug 1996 @ Naples
Antonio Palumbo,              M,  1.82 m,  b. 6 Aug 1996 @ Naples
Luca Fiordilino,              M,  1.77 m,  b. 25 Jul 1996 @ Palermo
Armando Anastasio,            D,  1.80 m,  b. 24 Jul 1996 @ Naples
Davide Di Molfetta,           F,  1.76 m,  b. 23 Jun 1996 @ Sesto San Giovanni
Daniele Verde,                F,  1.68 m,  b. 20 Jun 1996 @ Naples
Lorenzo Pellegrini,           M,  1.86 m,  b. 19 Jun 1996 @ Rome
Simone Scuffet,               G,  1.93 m,  b. 31 May 1996 @ Udine
Nikita Contini,               G,  1.90 m,  b. 21 May 1996 @ Cherkasy
Kevin Bonifazi,               D,  1.87 m,  b. 19 May 1996 @ Rieti
Domenico Frare,               D,  1.87 m,  b. 10 May 1996 @ Conegliano
Gabriele Moncini,             F,  1.83 m,  b. 26 Apr 1996 @ Pistoia
Filippo Damian,               M,  1.80 m,  b. 21 Apr 1996 @ Castelfranco Veneto
Francesco Di Mariano,         F,  1.77 m,  b. 20 Apr 1996 @ Palermo
Valerio Mantovani,            D,  1.80 m,  b. 18 Apr 1996 @ Rome
Gianluca Mancini,             D,  1.90 m,  b. 17 Apr 1996 @ Pontedera
Alberto Cerri,                F,  1.93 m,  b. 16 Apr 1996 @ Parma
Mario Gargiulo,               M,  1.87 m,  b. 26 Mar 1996 @ Naples
Vittorio Parigini,            M,  1.80 m,  b. 25 Mar 1996 @ Moncalieri
Arturo Calabresi,             D,  1.86 m,  b. 17 Mar 1996 @ Rome
Elio Capradossi,              D,  1.81 m,  b. 11 Mar 1996 @ Kampala
Stefano Gori,                 G,  1.87 m,  b. 9 Mar 1996 @ Brescia
Antonino La Gumina,           F,  1.84 m,  b. 6 Mar 1996 @ Palermo
Luca Valzania,                M,  1.82 m,  b. 5 Mar 1996 @ Cesena
Lorenzo Montipò,              G,  1.91 m,  b. 20 Feb 1996 @ Novara
Giorgio Galli,                M,  1.82 m,  b. 11 Feb 1996 @ Como
Giacomo Volpe,                G,  1.89 m,  b. 16 Jan 1996 @ Biella
Luca Vignali,                 D,  1.83 m,  b. 11 Jan 1996 @ La Spezia

Pietro Ceccaroni,             D,  1.88 m,  b. 21 Dec 1995 @ Sarzana
Luca Mazzitelli,              M,  1.87 m,  b. 15 Nov 1995 @ Rome
Alessandro Caporale,          D,  1.90 m,  b. 28 Oct 1995 @ Lecce
Davide Balestero,             M,  1.87 m,  b. 6 Oct 1995 @ Genoa
Giangiacomo Magnani,          D,  1.91 m,  b. 4 Oct 1995 @ Correggio
Ettore Gliozzi,               F,  1.86 m,  b. 23 Sep 1995 @ Siderno
Cristiano Lombardi,           F,  1.80 m,  b. 19 Aug 1995 @ Viterbo
Alessandro Bellemo,           M,  1.84 m,  b. 7 Aug 1995 @ Chioggia
Stefano Sensi,                M,  1.68 m,  b. 5 Aug 1995 @ Urbino
Alessandro Deiola,            M,  1.89 m,  b. 1 Aug 1995 @ San Gavino Monreale
Pasquale Mazzocchi,           D,  1.83 m,  b. 27 Jul 1995 @ Naples
Andrea Petagna,               F,  1.88 m,  b. 30 Jun 1995 @ Trieste
Stefano Negro,                D,  1.92 m,  b. 28 Jun 1995 @ Biella
Alexis Ferrante,              F,  1.75 m,  b. 27 Jun 1995 @ Buenos Aires
Mattia Zaccagni,              M,  1.77 m,  b. 16 Jun 1995 @ Cesena
Luca Maniero,                 G,  1.88 m,  b. 12 Jun 1995 @ Padua
Mattia Aramu,                 F,  1.80 m,  b. 14 May 1995 @ Ciriè
Davide Voltan,                M,  1.78 m,  b. 15 Apr 1995 @ Padua
Lorenzo Venuti,               D,  1.76 m,  b. 12 Apr 1995 @ Montevarchi
Wladimiro Falcone,            G,  1.95 m,  b. 12 Apr 1995 @ Rome
Filippo Bandinelli,           M,  1.80 m,  b. 29 Mar 1995 @ Florence
Luca Lezzerini,               G,  1.95 m,  b. 24 Mar 1995 @ Rome
Max Reinthaler,               D,  1.83 m,  b. 22 Mar 1995 @ Bolzano
Antonio Barreca,              D,  1.80 m,  b. 18 Mar 1995 @ Turin
Pierluigi Gollini,            G,  1.94 m,  b. 18 Mar 1995 @ Bologna
Alberto Grassi,               M,  1.83 m,  b. 7 Mar 1995 @ Brescia
Bryan Cristante,              M,  1.86 m,  b. 3 Mar 1995 @ San Vito al Tagliamento
Jacopo Petriccione,           M,  1.76 m,  b. 22 Feb 1995 @ Gorizia
Patrick Ciurria,              F,  1.80 m,  b. 9 Feb 1995 @ Sassuolo
Filippo Berra,                D,  1.85 m,  b. 6 Feb 1995 @ Udine
Alessio Romagnoli,            D,  1.85 m,  b. 12 Jan 1995 @ Anzio
Simone Perilli,               G,  1.95 m,  b. 7 Jan 1995 @ Rome
Lorenzo Andrenacci,           G,  1.86 m,  b. 2 Jan 1995 @ Fermo

Nicola Murru,                 D,  1.80 m,  b. 16 Dec 1994 @ Cagliari
Tommaso Biasci,               F,  1.80 m,  b. 10 Nov 1994 @ San Giuliano Terme
Andrea Fulignati,             G,  1.88 m,  b. 31 Oct 1994 @ Empoli
Anthony Partipilo,            F,  1.81 m,  b. 27 Oct 1994 @ Bari
Lorenzo Pinzauti,             F,  1.81 m,  b. 9 Sep 1994 @ Fiesole
Tommaso Augello,              D,  1.80 m,  b. 30 Aug 1994 @ Milan
Daniele Celiento,             D,  1.82 m,  b. 6 Aug 1994 @ Naples
Danilo Cataldi,               M,  1.80 m,  b. 6 Aug 1994 @ Rome
Emerson Palmieri,             D,  1.76 m,  b. 3 Aug 1994 @ Santos
Francesco Vicari,             D,  1.88 m,  b. 3 Aug 1994 @ Rome
Domenico Berardi,             F,  1.83 m,  b. 1 Aug 1994 @ Cariati Marina
Daniele Rugani,               D,  1.90 m,  b. 29 Jul 1994 @ Lucca
Alessandro Gabrielloni,       F,  1.78 m,  b. 10 Jul 1994 @ Jesi
Davide Biraschi,              D,  1.82 m,  b. 2 Jul 1994 @ Rome
Alex Ferrari,                 D,  1.91 m,  b. 1 Jul 1994 @ Modena
Alessio Cragno,               G,  1.84 m,  b. 28 Jun 1994 @ Fiesole
Riccardo Melgrati,            G,  1.88 m,  b. 17 Jun 1994 @ Monza
Federico Di Francesco,        F,  1.72 m,  b. 14 Jun 1994 @ Pisa
Matteo Di Gennaro,            D,  1.92 m,  b. 2 Jun 1994 @ Sant'Elpidio a Mare
Matteo Ricci,                 M,  1.75 m,  b. 27 May 1994 @ Rome
Luigi Canotto,                F,  1.78 m,  b. 19 May 1994 @ Rossano Calabro
Giovanni Zaro,                D,  1.93 m,  b. 12 May 1994 @ Busto Arsizio
Roberto Insigne,              F,  1.71 m,  b. 11 May 1994 @ Naples
Mattia Caldara,               D,  1.90 m,  b. 5 May 1994 @ Scanzorosciate
Stefano Scognamillo,          D,  1.83 m,  b. 4 May 1994 @ St Petersburg
Jacopo Manconi,               F,  1.80 m,  b. 24 Apr 1994 @ Vizzolo Predabissi
Nicolas Izzillo,              M,  1.80 m,  b. 19 Apr 1994 @ La Maddalena
Umberto Saracco,              G,  1.90 m,  b. 10 Apr 1994 @ Moncalieri
Roberto Gagliardini,          M,  1.88 m,  b. 7 Apr 1994 @ Bergamo
Gennaro Acampora,             M,  1.74 m,  b. 29 Mar 1994 @ Naples
Dimitri Bisoli,               M,  1.80 m,  b. 25 Mar 1994 @ Cagliari
Davide Guglielmotti,          M,  1.84 m,  b. 24 Mar 1994 @ Novara
Ivan Provedel,                G,  1.92 m,  b. 17 Mar 1994 @ Pordenone
Stefano Minelli,              G,  1.86 m,  b. 5 Mar 1994 @ Brescia
Andrea Conti,                 D,  1.84 m,  b. 2 Mar 1994 @ Lecco
Tommaso Arrigoni,             M,  1.71 m,  b. 26 Feb 1994 @ Cesena
Eric Lanini,                  F,  1.84 m,  b. 25 Feb 1994 @ Turin
Matteo Battistini,            D,  1.87 m,  b. 18 Feb 1994 @ Como
Marco Perrotta,               D,  1.86 m,  b. 14 Feb 1994 @ Campobasso
Luca Garritano,               M,  1.72 m,  b. 11 Feb 1994 @ Cosenza
Gregorio Luperini,            M,  1.87 m,  b. 10 Feb 1994 @ Pisa
Alessandro Celli,             D,  1.82 m,  b. 28 Jan 1994 @ Rome
Valerio Verre,                M,  1.80 m,  b. 11 Jan 1994 @ Rome

Gianluca Di Chiara,           D,  1.85 m,  b. 26 Dec 1993 @ Palermo
Andrea Belotti,               F,  1.81 m,  b. 20 Dec 1993 @ Calcinate
Andrea Barberis,              M,  1.77 m,  b. 11 Dec 1993 @ Genoa
Mattia Bani,                  D,  1.88 m,  b. 10 Dec 1993 @ Borgo San Lorenzo
Manuel Lazzari,               M,  1.74 m,  b. 29 Nov 1993 @ Valdagno
Edoardo Goldaniga,            D,  1.93 m,  b. 2 Nov 1993 @ Milan
Nicola Falasco,               D,  1.84 m,  b. 5 Oct 1993 @ Piove di Sacco
Raffaele Di Gennaro,          G,  1.88 m,  b. 3 Oct 1993 @ Saronno
Francesco Zampano,            D,  1.78 m,  b. 30 Sep 1993 @ Genoa
Andrea Sala,                  G,  1.87 m,  b. 16 Sep 1993 @ Saronno
Mattia Valoti,                M,  1.87 m,  b. 6 Sep 1993 @ Vicenza
Federico Barba,               D,  1.85 m,  b. 1 Sep 1993 @ Rome
Giovanni Di Lorenzo,          D,  1.87 m,  b. 4 Aug 1993 @ Castelnuovo di Garfagnana
Matteo Politano,              F,  1.71 m,  b. 3 Aug 1993 @ Rome
Gianluca Caprari,             F,  1.76 m,  b. 30 Jul 1993 @ Rome
Alessandro Micai,             G,  1.86 m,  b. 24 Jul 1993 @ Mantova
Manuel Marras,                F,  1.68 m,  b. 9 Jul 1993 @ Genoa
Mirko Pigliacelli,            G,  1.84 m,  b. 30 Jun 1993 @ Rome
Stefano Moreo,                F,  1.91 m,  b. 30 Jun 1993 @ Milan
Tommy Maistrello,             F,  1.93 m,  b. 24 Jun 1993 @ Correggio
Luca Verna,                   M,  1.81 m,  b. 21 Jun 1993 @ Lanciano
Nicola Pavan,                 M,  1.86 m,  b. 15 Jun 1993 @ Thiene
Davide Agazzi,                M,  1.74 m,  b. 2 Jun 1993 @ Trescore Balneario
Riccardo Fiamozzi,            D,  1.75 m,  b. 18 May 1993 @ Mezzocorona
