=================================
=  Mali

Bakary Nimaga,                M,  1.89 m,  b. 6 Dec 1994 @ Bamako
Moussa Sidibé,                M,  1.70 m,  b. 21 Nov 1994 @ Bamako
Ismael Diawara,               G,  1.94 m,  b. 11 Nov 1994 @ Bamako
Senou Coulibaly,              D,  1.93 m,  b. 4 Sep 1994 @ Pontoise
Moussa Doumbia,               M,  1.73 m,  b. 15 Aug 1994 @ Bamako
Abdoulaye Keita,              M,  1.75 m,  b. 5 Jan 1994 @ Bamako

Adama Niane,                  F,  1.82 m,  b. 16 Jun 1993 @ Bamako
Abdoulaye Doucouré,           M,  1.84 m,  b. 1 Jan 1993 @ Meulan-en-Yvelines

Massadio Haïdara,             D,  1.79 m,  b. 2 Dec 1992 @ Trappes
Birama Touré,                 M,  1.83 m,  b. 6 Jun 1992 @ Kayes
Nouha Dicko,                  F,  1.73 m,  b. 14 May 1992 @ Saint-Maurice
Cheick Diarra,                F,  1.76 m,  b. 11 Feb 1992 @ Bamako
Hamary Traoré,                D,  1.75 m,  b. 27 Jan 1992 @ Bamako
Charles Traoré,               D,  1.80 m,  b. 1 Jan 1992 @ Aulnay-sous-Bois

Kalifa Coulibaly,             F,  1.97 m,  b. 21 Aug 1991 @ Bamako
Abdoulay Diaby,               F,  1.72 m,  b. 21 May 1991 @ Nanterre
Moussa Marega,                F,  1.86 m,  b. 14 Apr 1991 @ Les Ulis
Molla Wagué,                  D,  1.91 m,  b. 21 Feb 1991 @ Vernon

Yacouba Sylla,                M,  1.84 m,  b. 29 Nov 1990 @ Étampes
Mamadou Samassa,              G,  1.91 m,  b. 16 Feb 1990 @ Montreuil

Samba Sow,                    M,  1.85 m,  b. 29 Apr 1989 @ Bamako
Sambou Yatabaré,              M,  1.90 m,  b. 2 Mar 1989 @ Beauvais

Bakary Sako,                  M,  1.84 m,  b. 24 Apr 1988 @ Ivry-sur-Seine

Modibo Maïga,                 F,  1.85 m,  b. 3 Sep 1986 @ Bamako
Mustapha Yatabaré,            F,  1.82 m,  b. 26 Jan 1986 @ Beauvais
