=================================
=  Northern Ireland

William Murdock,              G,  - ,      b. 26 May 2007
Tommy Scott,                  G,  1.88 m,  b. 13 Sep 1999 @ Poole
Eoin Toal,                    D,  1.91 m,  b. 15 Feb 1999 @ Armagh

Shayne Lavery,                F,  1.82 m,  b. 8 Dec 1998 @ Lurgan
Cal Templeton,                D,  - ,      b. 4 Dec 1998 @ Coventry
Sam Todd,                     D,  1.85 m,  b. 28 Apr 1998 @ Carndonagh
Nathan Gartside,              G,  1.82 m,  b. 8 Mar 1998 @ Bielefeld
Conor Hazard,                 G,  1.98 m,  b. 5 Mar 1998 @ Belfast
Jamal Lewis,                  D,  1.78 m,  b. 25 Jan 1998 @ Luton
Ciaron Brown,                 D,  1.85 m,  b. 14 Jan 1998 @ Hillingdon

Michael Newberry,             D,  1.82 m,  b. 30 Dec 1997 @ Newcastle upon Tyne
Charlie Owens,                M,  1.85 m,  b. 7 Dec 1997 @ Islington
Paul Smyth,                   M|F,1.75 m,  b. 10 Sep 1997 @ Belfast
Rory Holden,                  F,  1.69 m,  b. 23 Aug 1997 @ Derry
Jamal Dupree,                 M,  - ,      b. 11 Aug 1997
Mark Sykes,                   M,  1.82 m,  b. 4 Aug 1997 @ Belfast
Brad Lyons,                   M,  1.76 m,  b. 26 May 1997 @ Ballymoney
Ben Doherty,                  D|M,1.75 m,  b. 24 Mar 1997 @ Derry
Stephen Fallon,               M,  - ,      b. 3 Mar 1997 @ Belfast
Ben Hall,                     D,  1.85 m,  b. 16 Jan 1997 @ Enniskillen
Jordan Thompson,              M,  1.75 m,  b. 3 Jan 1997 @ Belfast

Georgie Kelly,                F,  1.88 m,  b. 12 Nov 1996 @ Derry
Bailey Peacock-Farrell,       G,  1.88 m,  b. 29 Oct 1996 @ Darlington
Cameron Dummigan,             D,  1.80 m,  b. 2 Jun 1996 @ Lurgan
Conor Mitchell,               G,  1.83 m,  b. 9 May 1996 @ Ballymoney
Josh Doherty,                 D,  1.79 m,  b. 15 Mar 1996 @ Newtownards
Liam Donnelly,                M,  1.80 m,  b. 7 Mar 1996 @ Dungannon
Jamie McGonigle,              F,  1.83 m,  b. 5 Mar 1996 @ Dungiven
Joel Cooper,                  M,  1.80 m,  b. 29 Feb 1996 @ Ballyclare
Joshua Daniels,               M,  1.77 m,  b. 22 Feb 1996 @ Derry
Gavin Whyte,                  F,  1.78 m,  b. 31 Jan 1996 @ Belfast
Ciaron Harkin,                M,  1.78 m,  b. 15 Jan 1996 @ Derry

Callum Camps,                 M,  1.80 m,  b. 30 Nov 1995 @ Stockport
Dion Charles,                 M|F,1.78 m,  b. 7 Oct 1995 @ Preston
Thomas McAloon,               F,  - ,      b. 5 Sep 1995 @ Consett
Conor McMenamin,              F,  1.82 m,  b. 24 Aug 1995 @ Downpatrick
Dominic Ball,                 D,  1.84 m,  b. 2 Aug 1995 @ Welwyn Garden City
Aaron McEneff,                M,  1.75 m,  b. 9 Jul 1995 @ Derry
Chris Johns,                  G,  1.83 m,  b. 13 May 1995
Paddy McNair,                 D|M,1.83 m,  b. 27 Apr 1995 @ Ballyclare
Cameron McGeehan,             M,  1.80 m,  b. 6 Apr 1995 @ Kingston-upon-Thames

Luke Conlan,                  D,  1.80 m,  b. 31 Oct 1994 @ Portaferry
Jordan Jones,                 F,  1.74 m,  b. 24 Oct 1994 @ Middlesbrough
Ryan McLaughlin,              D,  1.74 m,  b. 3 Sep 1994 @ Belfast
Jamie Reid,                   F,  1.81 m,  b. 12 Jul 1994 @ Torquay
