=================================
=  Albania

Flavio Sulejmani,             F,  - ,      b. 20 Mar 2006
Taulant Seferi,               F,  1.84 m,  b. 15 Nov 1996 @ Kumanovo
Fiorin Durmishaj,             F,  1.81 m,  b. 14 Nov 1996 @ Tirana
Ardian Ismajli,               D,  1.85 m,  b. 30 Sep 1996 @ Majac
Eneo Bitri,                   D,  1.92 m,  b. 26 Aug 1996 @ Berat
Kristal Abazaj,               M,  1.83 m,  b. 6 Jul 1996 @ Elbasan
Realdo Fili,                  M,  1.76 m,  b. 14 May 1996 @ Fier
Ylber Ramadani,               M,  1.85 m,  b. 12 Apr 1996 @ Ferizaj
Qazim Laçi,                   M,  1.79 m,  b. 19 Jan 1996 @ Peshkopi

Kristi Qose,                  M,  1.87 m,  b. 10 Jun 1995 @ Korçë
Myrto Uzuni,                  M|F,1.78 m,  b. 31 May 1995 @ Berat
Jasir Asani,                  F,  1.79 m,  b. 19 May 1995 @ Skopje
Eros Grezda,                  F,  1.80 m,  b. 15 Apr 1995 @ Gjakova
Thomas Strakosha,             G,  1.93 m,  b. 19 Mar 1995 @ Athens

Flosard Malçi,                F,  1.80 m,  b. 23 Dec 1994
Herdi Prenga,                 D,  1.90 m,  b. 31 Aug 1994 @ Zadar
Amir Bilali,                  D,  1.87 m,  b. 15 May 1994 @ Skopje
Elvis Kabashi,                M,  1.77 m,  b. 20 Feb 1994 @ Massa
Liridon Latifi,               M,  1.82 m,  b. 6 Feb 1994 @ Priština
Elseid Hysaj,                 D,  1.82 m,  b. 2 Feb 1994 @ Shkodër

Naser Aliji,                  D,  1.78 m,  b. 27 Dec 1993 @ Skopje
Sindrit Guri,                 F,  1.89 m,  b. 23 Oct 1993 @ Shkodër
Eduart Rroca,                 M,  1.82 m,  b. 28 Sep 1993 @ Librazhd
Arlind Ajeti,                 D,  1.84 m,  b. 25 Sep 1993 @ Basel
Ergys Kaçe,                   M,  1.61 m,  b. 8 Jul 1993 @ Korça
Berat Djimsiti,               D,  1.90 m,  b. 19 Feb 1993 @ Zürich

Frédéric Veseli,              D,  1.83 m,  b. 20 Nov 1992 @ Renens
Imran Bunjaku,                M,  1.78 m,  b. 18 Oct 1992 @ Zürich
Hysen Memolla,                D,  1.86 m,  b. 3 Jul 1992 @ Kavajë
Kastriot Dërmaku,             D,  1.95 m,  b. 15 Jan 1992 @ Scandiano
Iván Balliu,                  D,  1.75 m,  b. 1 Jan 1992 @ Caldes de Malavella

Simo Rrumbullaku,             D,  1.72 m,  b. 30 Dec 1991 @ Gjirokastër
Denis Simani,                 D,  1.88 m,  b. 13 Oct 1991 @ St. Gallen
Loret Sadiku,                 M,  1.80 m,  b. 28 Jul 1991 @ Pristina
Fatjon Andoni,                M,  1.85 m,  b. 19 Jun 1991 @ Athens
Armando Sadiku,               F,  1.86 m,  b. 27 May 1991 @ Elbasan
Odise Roshi,                  M,  1.87 m,  b. 22 May 1991 @ Fier
Taulant Xhaka,                M,  1.75 m,  b. 28 Mar 1991 @ Basel
Bekim Balaj,                  F,  1.83 m,  b. 11 Jan 1991 @ Tirana

Sokol Çikalleshi,             F,  1.87 m,  b. 27 Jul 1990 @ Kavajë
Amir Abrashi,                 M,  1.72 m,  b. 27 Mar 1990 @ Bischofszell

Ermir Lenjani,                D,  1.75 m,  b. 5 Aug 1989 @ Pristina
