=================================
=  Portugal

Valentino Lesieur,            G,  1.95 m,  b. 18 Mar 2003 @ Mont-Saint-Aignan
Ni,                           D,  1.90 m,  b. 1 Mar 2003 @ Barcelos
Joelson Fernandes,            F,  1.72 m,  b. 28 Feb 2003 @ Bissau
Cláudio Araújo,               M,  1.77 m,  b. 22 Feb 2003 @ Braga
Patrick Leal,                 D|M,1.80 m,  b. 21 Feb 2003 @ Newton
Alvyn Sanches,                M,  1.78 m,  b. 12 Feb 2003 @ Créteil
Joel Silva,                   M,  1.85 m,  b. 11 Feb 2003 @ Vila Nova de Gaia
Christian Marques,            D,  1.87 m,  b. 15 Jan 2003 @ Uster
Martim Neto,                  M,  1.85 m,  b. 14 Jan 2003 @ Viana do Castelo
Ronaldo Camará,               M,  1.72 m,  b. 5 Jan 2003 @ Bissau

Pedro Brazão,                 M,  1.73 m,  b. 30 Dec 2002 @ Lisbon
Francisco Conceição,          F,  1.70 m,  b. 14 Dec 2002 @ Coimbra
Miguel Maga,                  D,  1.75 m,  b. 16 Nov 2002 @ Porto
Hélder Sá,                    D,  1.86 m,  b. 10 Nov 2002 @ Famalicão
Diogo Nascimento,             M,  1.66 m,  b. 2 Nov 2002 @ Leiria
Wanya Marçal-Madivádua,       M,  1.81 m,  b. 19 Oct 2002 @ Leicester
Danilo Veiga,                 D,  1.83 m,  b. 25 Sep 2002 @ Gondomar
João Oliveira,                G,  1.85 m,  b. 18 Sep 2002 @ Lisbon
Fabio Carvalho,               M,  1.70 m,  b. 30 Aug 2002 @ Lisbon
Rogério Fernandes,            D,  1.70 m,  b. 28 Aug 2002 @ Seixal
Afonso Rodrigues,             F,  1.78 m,  b. 19 Aug 2002 @ Braga
Andre Amaro,                  D,  1.86 m,  b. 13 Aug 2002 @ Viseu
André Liberal,                F,  1.81 m,  b. 2 Aug 2002 @ Boticas
Tiago Santos,                 D,  1.75 m,  b. 23 Jul 2002 @ Lisbon
Jota,                         F,  1.77 m,  b. 22 Jul 2002 @ Guimarães
Fábio Silva,                  F,  1.85 m,  b. 19 Jul 2002 @ Rio Tinto
Issa Bah,                     F,  1.81 m,  b. 5 Jul 2002 @ Conakry
Rafael Fernandes,             D,  1.91 m,  b. 28 Jun 2002 @ Setúbal
Nuno Mendes,                  D,  1.84 m,  b. 19 Jun 2002 @ Lisbon
Tiago Ventura,                F,  1.75 m,  b. 19 Jun 2002 @ Gondomar
Tiago Tomás,                  F,  1.80 m,  b. 16 Jun 2002 @ Cascais
Samuel Soares,                G,  1.90 m,  b. 15 Jun 2002 @ Amadora
Leonardo Buta,                D,  1.82 m,  b. 5 Jun 2002 @ Águeda
Edu Borges,                   D,  1.85 m,  b. 27 May 2002 @ Chaves
Gonçalo Cunha,                D,  1.89 m,  b. 24 May 2002 @ Guimarães
Ruca,                         D,  1.74 m,  b. 20 May 2002 @ Espinho
Tomás Araújo,                 D,  1.87 m,  b. 16 May 2002 @ Vila Nova de Famalicão
Hélio Varela,                 F,  1.76 m,  b. 3 May 2002 @ Almada
Pedro Vieira,                 F,  1.90 m,  b. 3 May 2002 @ Beja
Famana Quizera,               M,  1.72 m,  b. 25 Apr 2002 @ Bissau
Gui,                          M,  1.83 m,  b. 17 Apr 2002 @ Santa Marta de Penaguião
Diogo Fonseca,                D,  1.92 m,  b. 10 Apr 2002 @ Viseu
Henrique Pires,               D,  1.91 m,  b. 8 Apr 2002
Zé Oliveira,                  G,  1.86 m,  b. 6 Apr 2002 @ Penafiel
Tomás Esteves,                D,  1.80 m,  b. 3 Apr 2002 @ Arcos de Valdevez
Bernardo Folha,               M,  1.77 m,  b. 23 Mar 2002 @ Porto
Tiago Ribeiro,                M,  1.85 m,  b. 14 Mar 2002 @ Vila Nova de Gaia
Eduardo Quaresma,             D,  1.84 m,  b. 2 Mar 2002 @ Barreiro
Francisco França,             M,  1.86 m,  b. 16 Feb 2002 @ Funchal
Rui Correia,                  D,  1.82 m,  b. 16 Feb 2002 @ Guimarães
João Marques,                 M,  - ,      b. 13 Feb 2002 @ Barreiro
Hugo Oliveira,                D,  1.74 m,  b. 10 Feb 2002 @ Santa Maria da Feira
Fran Pereira,                 M,  1.85 m,  b. 6 Feb 2002 @ Vila Nova de Gaia
Paulo Bernardo,               M,  1.84 m,  b. 24 Jan 2002 @ Almada
Henrique Araújo,              F,  1.82 m,  b. 19 Jan 2002 @ Funchal
Rafael Brito,                 M,  1.84 m,  b. 19 Jan 2002 @ Almada

João Nobrega,                 M,  1.86 m,  b. 4 Dec 2001 @ Camacha
Rodrigo Andrade,              M,  1.80 m,  b. 24 Nov 2001 @ Funchal
Pedro Teixeira,               G,  1.90 m,  b. 20 Nov 2001 @ Funchal
André Lopes,                  D,  - ,      b. 2 Nov 2001
Zé Carlos,                    M,  1.72 m,  b. 30 Oct 2001 @ Matosinhos
Samuel Lobato,                M,  1.84 m,  b. 19 Oct 2001 @ Maia
António Montez,               M,  - ,      b. 29 Sep 2001
Sidnei Tavares,               M,  - ,      b. 29 Sep 2001
Luís Bastos,                  D,  1.75 m,  b. 10 Sep 2001 @ Paços de Ferreira
Alexandre Penetra,            D,  1.86 m,  b. 9 Sep 2001 @ Tondela
Henrique Jocú,                M,  1.71 m,  b. 9 Sep 2001 @ Bissau
Hugo Cunha,                   G,  1.98 m,  b. 6 Sep 2001 @ Viana do Castelo
Tiago Almeida,                D,  1.77 m,  b. 28 Aug 2001 @ Anadia
Gonçalo Inácio,               D,  1.86 m,  b. 25 Aug 2001 @ Almada
Quevin Castro,                F,  - ,      b. 16 Aug 2001
Alexandre Moutinho,           M,  1.68 m,  b. 7 Aug 2001 @ Portimão
João Barros,                  D,  1.86 m,  b. 24 Jun 2001 @ Funchal
Filipe Sissé,                 M,  1.80 m,  b. 22 Jun 2001
Telmo Arcanjo,                M,  1.80 m,  b. 21 Jun 2001 @ Lisbon
Gonçalo Ramos,                F,  1.84 m,  b. 20 Jun 2001 @ Lisbon
Tiago Gouveia,                F,  1.76 m,  b. 18 Jun 2001 @ Cascais
Bruno Miguel,                 G,  1.90 m,  b. 16 Jun 2001 @ Vila Nova de Gaia
Manu Silva,                   M,  1.89 m,  b. 12 Jun 2001 @ Santa Maria da Feira
Ricardo Sousa,                M,  1.79 m,  b. 9 Jun 2001 @ Arouca
Bernardo Silva,               M,  1.90 m,  b. 31 May 2001 @ Lisbon
Rafa Pereira,                 M,  1.76 m,  b. 26 May 2001 @ Coimbra
Nilton Varela,                D,  1.82 m,  b. 25 May 2001 @ Lisbon
André Lacximicant,            F,  1.88 m,  b. 19 May 2001 @ Lisbon
Francisco Meixedo,            G,  1.86 m,  b. 19 May 2001 @ Porto
Jójó,                         D,  1.86 m,  b. 19 May 2001 @ Lisbon
Hélder Morim,                 M,  1.75 m,  b. 14 May 2001 @ Póvoa de Varzim
Sandro Cruz,                  D,  1.82 m,  b. 12 May 2001 @ Braga
João Monteiro,                G,  1.86 m,  b. 7 May 2001 @ Vila Nova de Gaia
Úmaro Embaló,                 F,  1.70 m,  b. 6 May 2001 @ Bissau
Fábio Ronaldo,                F,  1.78 m,  b. 28 Apr 2001 @ Vila Nova de Gaia
Mauro Rodrigues,              M,  1.78 m,  b. 15 Apr 2001
Fabinho,                      D,  1.78 m,  b. 29 Mar 2001 @ Lisbon
Gonçalo Borges,               F,  1.84 m,  b. 29 Mar 2001 @ Lisbon
Guilherme Fernandes,          G,  1.91 m,  b. 28 Mar 2001 @ Lisbon
Tiago Araújo,                 D|M,1.78 m,  b. 27 Mar 2001 @ Vila do Conde
João Ferreira,                D,  1.84 m,  b. 22 Mar 2001 @ Póvoa de Varzim
Braima Sambú,                 M,  - ,      b. 20 Mar 2001
Nuno Lima,                    D,  1.84 m,  b. 16 Mar 2001 @ Porto
Afonso Valente,               M,  1.73 m,  b. 10 Mar 2001 @ Estoril
Tomás Tavares,                D,  1.87 m,  b. 7 Mar 2001 @ Lisbon
Gonçalo Oliveira,             F,  1.76 m,  b. 28 Feb 2001 @ Évora
Bruno Ventura,                M,  1.72 m,  b. 27 Feb 2001 @ Lisbon
Hugo Caeiro,                  F,  - ,      b. 22 Feb 2001
Rodrigo Valente,              M,  1.73 m,  b. 15 Feb 2001 @ Santa Maria da Feira
Jair Tavares,                 M,  1.78 m,  b. 13 Feb 2001 @ Lisbon
Guilherme,                    D,  1.86 m,  b. 8 Feb 2001 @ Braga
Rafael Fonseca,               D,  1.80 m,  b. 31 Jan 2001 @ Almada
Serginho,                     F,  1.83 m,  b. 29 Jan 2001 @ Lisbon
Félix Correia,                F,  1.80 m,  b. 22 Jan 2001 @ Lisbon
Tiago Matos,                  M,  1.78 m,  b. 22 Jan 2001 @ Porto
Pedro Malheiro,               D,  1.79 m,  b. 21 Jan 2001 @ Vila Verde
André Cardoso,                M,  1.79 m,  b. 16 Jan 2001 @ Madeira
David Costa,                  M,  1.68 m,  b. 5 Jan 2001 @ Lisbon

Bernardo Vital,               D,  1.87 m,  b. 29 Dec 2000 @ Cascais
Tiago Dantas,                 M,  1.70 m,  b. 24 Dec 2000 @ Lisbon
Samú Costa,                   M,  1.83 m,  b. 27 Nov 2000 @ Aveiro
Tomás Händel,                 M,  1.80 m,  b. 27 Nov 2000 @ Guimarães
Gonçalo Franco,               M,  1.76 m,  b. 17 Nov 2000 @ Porto
Gabriel Castro,               D,  1.82 m,  b. 15 Nov 2000 @ Lisbon
Tamble Monteiro,              F,  1.91 m,  b. 15 Nov 2000 @ Coimbra
João Gonçalves,               G,  1.88 m,  b. 5 Nov 2000 @ Porto
André Seruca,                 M,  1.91 m,  b. 29 Oct 2000 @ Faro
Gonçalo Cardoso,              D,  1.89 m,  b. 21 Oct 2000 @ Marco de Canaveses
Pedro Santos,                 M,  1.83 m,  b. 12 Oct 2000 @ Porto
Papu Mendes,                  M,  1.72 m,  b. 1 Oct 2000 @ Bissau
Dinis Pinto,                  D,  1.78 m,  b. 24 Aug 2000 @ Porto
André Ricardo,                M,  1.78 m,  b. 23 Aug 2000 @ Lisbon
Celton Biai,                  G,  1.82 m,  b. 13 Aug 2000 @ Lisbon
Cláudio Silva,                D,  1.88 m,  b. 29 Jun 2000 @ Porto
Edgar Pacheco,                F,  1.71 m,  b. 23 Jun 2000
Jota,                         D,  1.86 m,  b. 17 Jun 2000 @ Espinho
Théo Fonseca,                 F,  1.78 m,  b. 11 Jun 2000 @ Ermonit
Pedro Ganchas,                D,  1.90 m,  b. 31 May 2000 @ Lisbon
André Almeida,                M,  1.72 m,  b. 30 May 2000 @ Guimarães
Fábio Vieira,                 M,  1.70 m,  b. 30 May 2000 @ Santa Maria da Feira
Né Lopes,                     D,  1.85 m,  b. 29 May 2000 @ Braga
Rafael Camacho,               M,  1.75 m,  b. 22 May 2000 @ Lisbon
César Sousa,                  M,  1.73 m,  b. 20 May 2000 @ Lisbon
Masca,                        F,  1.75 m,  b. 15 May 2000 @ Cascais
Ângelo Taveira,               D,  1.83 m,  b. 13 May 2000 @ Odiáxere
Gabriel Pereira,              D,  1.88 m,  b. 7 May 2000 @ Volta Redonda
Afonso Sousa,                 M,  1.74 m,  b. 3 May 2000 @ Aveiro
Gonçalo Pinto,                G,  1.94 m,  b. 30 Apr 2000 @ Almada
Brian Araújo,                 G,  1.89 m,  b. 29 Apr 2000 @ Paris
Pedro Pelágio,                M,  1.81 m,  b. 21 Apr 2000 @ Funchal
Miguel Nóbrega,               D,  1.89 m,  b. 17 Apr 2000 @ Funchal
Dani Silva,                   M,  1.80 m,  b. 11 Apr 2000 @ Beja
Tiago Djaló,                  D,  1.90 m,  b. 9 Apr 2000 @ Amadora
Afonso Freitas,               D,  1.81 m,  b. 7 Apr 2000 @ Guimarães
Pedro Pinho,                  M,  1.89 m,  b. 6 Apr 2000 @ Vale de Cambra
Angelo Campos,                F,  1.78 m,  b. 30 Mar 2000 @ Chur
Leonardo Lelo,                D,  1.75 m,  b. 30 Mar 2000 @ Olhão
Benny,                        M,  1.78 m,  b. 27 Mar 2000 @ Treixedo
Costinha,                     D,  1.81 m,  b. 26 Mar 2000 @ Póvoa de Varzim
Ricardo Matos,                M,  1.79 m,  b. 25 Mar 2000 @ Vale de Figueira
Joel Sousa,                   G,  1.88 m,  b. 17 Mar 2000 @ Tondela
Vítor Oliveira,               F,  1.78 m,  b. 15 Mar 2000 @ Cabeceiras de Basto
Pedro Neto,                   M|F,1.72 m,  b. 9 Mar 2000 @ Viana do Castelo
Baba Fernandes,               D,  1.88 m,  b. 7 Mar 2000 @ Bissau
João Valido,                  G,  1.85 m,  b. 3 Mar 2000 @ Setúbal
Pedro Álvaro,                 D,  1.86 m,  b. 2 Mar 2000 @ Seia
Rúben Fonseca,                F,  1.88 m,  b. 24 Feb 2000 @ Santa Maria da Feira
Gonçalo Costa,                D,  1.79 m,  b. 18 Feb 2000 @ Setúbal
Simão Rocha,                  D,  1.86 m,  b. 13 Feb 2000 @ Paços de Ferreira
Vitinha,                      M|F,1.72 m,  b. 13 Feb 2000 @ Vila das Aves
Chiquinho,                    F,  1.79 m,  b. 5 Feb 2000 @ Cascais
Nuno Tavares,                 D,  1.83 m,  b. 26 Jan 2000 @ Lisbon
Romário Baró,                 M,  1.80 m,  b. 25 Jan 2000 @ Bissau
Luís Santos,                  F,  1.76 m,  b. 20 Jan 2000 @ Entroncamento
Leandro Sanca,                F,  1.84 m,  b. 4 Jan 2000 @ Lisbon
João Mário,                   M,  1.78 m,  b. 3 Jan 2000 @ São João da Madeira
