=================================
=  Norway

Lars Dahlen,                  G,  - ,      b. 1 Apr 2005
Ola Visted,                   M,  - ,      b. 30 Mar 2005
Henrik Melland,               M,  1.85 m,  b. 29 Mar 2005 @ Ålesund
Adrian Kojen,                 D,  - ,      b. 22 Mar 2005
Bork Classønn Bang-Kittilsen, F,  - ,      b. 22 Mar 2005
Even Valde,                   D,  - ,      b. 22 Mar 2005
Vetle Auklend,                D,  - ,      b. 22 Mar 2005
Fredrik Hoel,                 F,  - ,      b. 17 Mar 2005
Aridon Racaj,                 F,  1.89 m,  b. 12 Mar 2005 @ Sarpsborg
Markus Haaland,               M,  - ,      b. 8 Mar 2005
Eirik Brandal Bjørnevik,      G,  - ,      b. 5 Mar 2005
Magnus Tomren Solheim,        F,  - ,      b. 3 Mar 2005
Magnus Brøndbo,               G,  1.88 m,  b. 2 Mar 2005 @ Bodø
Leandro Elvestad Neto,        F,  - ,      b. 27 Feb 2005
Magnus Knutsvik,              F,  - ,      b. 23 Feb 2005
Håkon Røsten,                 D,  1.83 m,  b. 21 Feb 2005 @ Oppdal
Martin Sandum Rønningen,      M,  - ,      b. 20 Feb 2005
Rasmus Holten,                D,  - ,      b. 20 Feb 2005
Martin Børsheim,              G,  - ,      b. 18 Feb 2005
Runar Norheim,                M,  - ,      b. 14 Feb 2005
Simen Østby,                  D,  - ,      b. 10 Feb 2005
Tobias Vonheim Norbye,        D,  1.86 m,  b. 9 Feb 2005 @ Alta
Casper Glenna,                D,  - ,      b. 7 Feb 2005
Jarik Sundling,               G,  - ,      b. 4 Feb 2005
Martin Alvsaker,              M,  - ,      b. 3 Feb 2005
Sander Østraat,               G,  1.89 m,  b. 2 Feb 2005 @ Stord
Simen Vatne Haram,            D,  1.93 m,  b. 26 Jan 2005 @ Ørsta
Kasper Sætherbø,              M,  - ,      b. 21 Jan 2005
Felix Lillehammer,            D,  - ,      b. 8 Jan 2005
Andreas Ekrene,               D,  - ,      b. 4 Jan 2005
Morgan Caicedo Arnstad,       F,  - ,      b. 3 Jan 2005
Teodor Håland,                M,  - ,      b. 2 Jan 2005

Fabian Holst-Larsen,          D,  1.81 m,  b. 30 Dec 2004
Marius Broholm,               M,  1.72 m,  b. 26 Dec 2004 @ Tiller
Andreas Bakeng-Rogne,         M,  - ,      b. 19 Dec 2004
Magnus Bech Riisnæs,          M,  1.82 m,  b. 4 Nov 2004 @ Lørenskog
Daniel Bassi,                 M,  1.78 m,  b. 31 Oct 2004 @ Tromsø
Eivind Kolve,                 M,  1.78 m,  b. 22 Oct 2004
Petter Wingsternæs,           M,  - ,      b. 20 Oct 2004
Sander Håvik Innvær,          M,  - ,      b. 11 Oct 2004
Markus Sola,                  G,  - ,      b. 26 Sep 2004
Leander Alvheim,              F,  - ,      b. 15 Sep 2004
Jacob Eng,                    F,  1.80 m,  b. 14 Sep 2004
Mathias Tjoland,              M,  - ,      b. 8 Sep 2004
Simen Havig,                  G,  - ,      b. 4 Sep 2004
Syver Skeide,                 M,  1.73 m,  b. 28 Aug 2004
Henrik Stakkeland,            D,  - ,      b. 24 Aug 2004
Isak Hansen-Aarøen,           M,  1.78 m,  b. 22 Aug 2004 @ Tromsø
Jonas Dobloug Rasen,          M,  1.79 m,  b. 10 Aug 2004
Vegard Soheim,                M,  - ,      b. 10 Aug 2004
Even Rogne,                   D,  - ,      b. 3 Aug 2004
Christian Mork Breivik,       D,  - ,      b. 31 Jul 2004
Filip Stensland,              M,  1.89 m,  b. 27 Jul 2004 @ Fredrikstad
Nikolai Hopland,              D,  1.86 m,  b. 24 Jul 2004 @ Ålesund
Alf Lukas Grønneberg,         G,  - ,      b. 15 Jul 2004
Henrik Skogvold,              M,  - ,      b. 14 Jul 2004
Andreas Albertsen,            G,  - ,      b. 5 Jul 2004
Victor Halvorsen,             M,  1.85 m,  b. 3 Jul 2004
Vetle Walle Egeli,            D|M,1.73 m,  b. 23 Jun 2004 @ Larvik
Danilo Dos Santos Jonker,     M,  - ,      b. 17 Jun 2004
Niklas Jensen Wassberg,       M,  - ,      b. 12 Jun 2004
Alwande Roaldsøy,             M,  1.93 m,  b. 9 Jun 2004 @ Lørenskog
Emir Derviškadić,             M,  1.72 m,  b. 7 Jun 2004 @ Fredrikstad
Andreas Schjelderup,          M|F,1.76 m,  b. 1 Jun 2004 @ Bodø
