=================================
=  Spain

Iker Vidal,                   F,  - ,      b. 22 Dec 2004 @ Valladolid
Íñigo García,                 F,  - ,      b. 21 Dec 2004
Unai Hernández,               M,  1.71 m,  b. 14 Dec 2004 @ Badalona
Sergio Rodelas,               F,  - ,      b. 1 Dec 2004 @ Granada
Alejandro Herranz,            D,  - ,      b. 26 Nov 2004
Pau Sans,                     F,  1.71 m,  b. 24 Nov 2004 @ Zaragoza
Tomás Mendes,                 M,  - ,      b. 21 Nov 2004 @ Almería
Paco Sanz,                    D,  1.88 m,  b. 15 Nov 2004 @ Aravaca
Asier Osambela,               M,  1.86 m,  b. 30 Oct 2004 @ Pamplona
Luismi Quirant,               G,  - ,      b. 28 Oct 2004
Stefan Bajčetić,              M,  1.85 m,  b. 22 Oct 2004 @ Vigo
Pau Mascaró,                  F,  1.78 m,  b. 20 Oct 2004
Sergio Aragoneses Padilla,    G,  - ,      b. 9 Oct 2004 @ Santa Cruz de Tenerife
Nacho Ferri,                  F,  1.92 m,  b. 5 Oct 2004 @ Montaverner
Carles Garrido,               F,  1.82 m,  b. 4 Oct 2004 @ Barcelona
Iván Fresneda,                D,  1.83 m,  b. 28 Sep 2004 @ Madrid
Antonio Espigares,            D,  1.87 m,  b. 5 Sep 2004 @ Granada
Víctor Barberá,               F,  1.72 m,  b. 20 Aug 2004 @ Barcelona
Bruno Iribarne,               G,  1.91 m,  b. 18 Aug 2004 @ Almería
José Luis Català,             D,  1.88 m,  b. 16 Aug 2004 @ Palma de Mallorca
Carlos Reina,                 M,  - ,      b. 10 Aug 2004 @ Seville
Gavi,                         M,  1.73 m,  b. 5 Aug 2004 @ Los Palacios y Villafranca
Héctor Criado,                D,  - ,      b. 5 Aug 2004 @ Madrid
Gorka Rivera,                 D,  1.84 m,  b. 1 Aug 2004 @ Leganés
Yayo,                         M,  - ,      b. 30 Jul 2004
José Antonio de la Rosa,      F,  1.74 m,  b. 28 Jul 2004 @ Huelva
Iñaki González,               M,  1.79 m,  b. 27 Jul 2004 @ Badajoz
Manu Bueno,                   M,  1.78 m,  b. 27 Jul 2004 @ Jerez de la Frontera
